"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","27-Aug-2018","       1919.05","       1926.90","       1935.00","       1916.70","       1924.90","       1924.85","       1926.63","    1366731","          2633186440.35","      67373","    1013092","         74.13"
"HDFC","W2","27-Aug-2018","        442.00","        451.60","        456.85","        446.40","        451.70","        450.80","        450.96","     131400","            59256655.00","         18","     109500","         83.33"
"HDFC","EQ","28-Aug-2018","       1924.85","       1927.20","       1958.95","       1926.00","       1956.00","       1955.15","       1946.42","    2013110","          3918364738.75","     102359","    1532860","         76.14"
"HDFC","W2","28-Aug-2018","        450.80","        461.00","        480.50","        461.00","        479.00","        479.25","        469.40","     197100","            92518740.00","         27","     189800","         96.30"
"HDFC","EQ","29-Aug-2018","       1955.15","       1959.40","       1971.40","       1944.70","       1949.00","       1956.25","       1958.79","    2367281","          4636999492.95","     106131","    1744608","         73.70"
"HDFC","W2","29-Aug-2018","        479.25","        480.00","        492.00","        475.00","        478.05","        479.00","        482.78","     146000","            70486245.00","         20","     131400","         90.00"
"HDFC","EQ","30-Aug-2018","       1956.25","       1950.00","       1964.45","       1928.25","       1933.00","       1934.15","       1938.39","    2466442","          4780934933.15","      89377","    1871394","         75.87"
"HDFC","W2","30-Aug-2018","        479.00","        470.00","        471.95","        465.00","        465.90","        465.90","        467.71","      36500","            17071415.00","          5","      29200","         80.00"
"HDFC","EQ","31-Aug-2018","       1934.15","       1940.90","       1942.45","       1908.05","       1940.85","       1935.95","       1925.82","    3856093","          7426153067.50","     152636","    2812171","         72.93"
"HDFC","W2","31-Aug-2018","        465.90","        450.00","        455.00","        441.80","        455.00","        450.35","        447.08","      36500","            16318420.00","          5","      21900","         60.00"
"HDFC","EQ","03-Sep-2018","       1935.95","       1950.00","       1950.00","       1928.10","       1943.00","       1944.80","       1939.87","    2310201","          4481480074.20","     106865","    1847906","         79.99"
"HDFC","W2","03-Sep-2018","        450.35","        462.90","        470.00","        460.00","        466.00","        466.00","        465.01","     138700","            64497325.00","         19","     131400","         94.74"
"HDFC","EQ","04-Sep-2018","       1944.80","       1939.00","       1959.65","       1939.00","       1950.75","       1954.80","       1952.12","    2928533","          5716834403.55","     133601","    2408987","         82.26"
"HDFC","W2","04-Sep-2018","        466.00","        466.00","        479.00","        465.55","        479.00","        477.65","        473.21","      65700","            31089970.00","          9","      58400","         88.89"
"HDFC","EQ","05-Sep-2018","       1954.80","       1950.00","       1965.00","       1923.05","       1931.60","       1937.40","       1939.78","    3587932","          6959797313.25","     129547","    2781986","         77.54"
"HDFC","W2","05-Sep-2018","        477.65","        471.00","        471.00","        445.30","        457.55","        457.55","        451.41","     197100","            88972035.00","         27","     153300","         77.78"
"HDFC","EQ","06-Sep-2018","       1937.40","       1949.00","       1960.60","       1928.45","       1953.80","       1956.15","       1945.23","    4311847","          8387523321.25","     129013","    3635886","         84.32"
"HDFC","W2","06-Sep-2018","        457.55","        457.40","        475.00","        454.00","        474.85","        472.75","        464.58","     211700","            98351805.00","         29","     189800","         89.66"
"HDFC","EQ","07-Sep-2018","       1956.15","       1963.50","       1963.50","       1915.05","       1922.90","       1920.00","       1932.77","    2253314","          4355147171.35","     101307","    1213564","         53.86"
"HDFC","W2","07-Sep-2018","        472.75","        458.00","        458.00","        441.00","        448.50","        444.05","        447.85","     131400","            58847855.00","         18","     102200","         77.78"
"HDFC","EQ","10-Sep-2018","       1920.00","       1915.00","       1916.00","       1878.25","       1880.20","       1883.55","       1891.11","    2191420","          4144226654.95","     106851","    1440182","         65.72"
