Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,106.0,106.85,103.45,105.1,105.0,18139210.0,19085.99
2018-11-28,109.0,110.25,103.6,104.35,104.75,18726621.0,20013.16
2018-11-27,108.9,110.5,108.25,108.85,108.95,12495317.0,13650.78
2018-11-26,110.6,111.15,107.1,108.5,108.9,15396197.0,16780.67
2018-11-22,112.8,112.8,109.45,109.85,109.9,13647386.0,15157.65
2018-11-21,111.1,113.45,110.5,112.4,112.2,21085996.0,23690.53
2018-11-20,113.2,115.6,109.25,110.0,110.2,28258376.0,32028.7
2018-11-19,116.4,118.4,114.35,115.2,115.35,26168544.0,30435.86
2018-11-16,113.45,116.3,110.05,116.1,115.2,24404681.0,27636.37
2018-11-15,112.9,114.45,111.15,112.55,112.8,15489157.0,17503.22
2018-11-14,109.4,113.95,109.4,112.5,112.75,21880524.0,24506.59
2018-11-13,108.9,109.25,106.4,109.0,108.7,14242220.0,15346.08
2018-11-12,111.5,111.95,108.85,109.2,109.4,10558393.0,11614.52
2018-11-09,111.0,113.25,110.4,111.45,111.5,14599759.0,16362.4
2018-11-07,111.25,111.65,110.5,111.05,110.95,1807343.0,2005.75
2018-11-06,112.25,112.65,109.85,110.3,110.45,17283224.0,19259.32
2018-11-05,110.0,112.5,108.7,111.25,111.2,18802509.0,20881.15
2018-11-02,108.9,113.45,108.4,110.0,109.9,38112597.0,42441.94
2018-11-01,111.7,111.85,107.05,107.35,107.7,25819979.0,28225.14
2018-10-31,114.7,114.75,109.85,110.35,110.65,50580445.0,56520.59
2018-10-30,107.7,113.7,105.85,111.2,110.0,51240583.0,56494.62
2018-10-29,99.1,107.7,98.2,107.35,107.1,25921189.0,27017.44
2018-10-26,99.3,101.6,97.85,98.95,98.85,19408496.0,19286.01
2018-10-25,101.0,102.8,97.9,98.7,98.45,17653402.0,17744.93
2018-10-24,102.7,103.45,100.95,102.9,102.65,11710626.0,11973.35
2018-10-23,101.4,103.65,100.95,101.7,101.7,11600993.0,11843.79
2018-10-22,103.65,105.4,101.45,102.55,102.6,18193081.0,18766.46
2018-10-19,98.9,103.2,97.5,102.85,102.4,25230698.0,25566.57
2018-10-17,102.45,102.65,98.75,99.7,99.6,22282115.0,22307.44
2018-10-16,97.55,101.2,97.4,100.1,100.25,21139482.0,21023.47
2018-10-15,96.05,98.05,95.4,97.7,97.35,14955267.0,14473.26
2018-10-12,96.9,97.75,94.8,96.45,96.5,23768732.0,22884.05
2018-10-11,91.95,95.3,91.0,93.95,93.95,22648997.0,21117.5
2018-10-10,93.75,96.8,92.8,95.5,95.6,37419473.0,35689.61
2018-10-09,98.9,99.1,92.65,92.9,93.25,24069650.0,22981.64
