Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,30.2,30.4,28.75,28.9,29.0,453037.0,132.41
2018-11-28,30.5,30.6,29.8,29.8,30.0,205312.0,62.08
2018-11-27,30.15,30.8,30.05,30.5,30.4,1039511.0,316.05
2018-11-26,30.5,30.65,29.9,30.1,30.0,235071.0,70.85
2018-11-22,30.7,30.9,30.35,30.4,30.45,218951.0,66.96
2018-11-21,31.2,31.2,30.55,30.75,30.75,337182.0,104.06
2018-11-20,32.0,32.0,30.55,30.8,30.75,320853.0,99.66
2018-11-19,31.65,31.75,31.2,31.3,31.3,574073.0,180.63
2018-11-16,31.0,31.4,30.45,31.35,31.1,405059.0,125.0
2018-11-15,30.6,30.7,30.3,30.7,30.55,301833.0,92.18
2018-11-14,31.35,32.4,29.8,30.85,30.7,1839281.0,567.85
2018-11-13,31.75,31.8,30.5,31.4,31.3,440607.0,137.26
2018-11-12,32.6,32.9,31.55,31.8,31.75,540903.0,172.73
2018-11-09,32.1,32.9,31.8,32.3,32.25,613992.0,199.4
2018-11-07,32.15,32.2,31.75,32.0,32.1,113147.0,36.31
2018-11-06,32.1,32.35,31.5,31.9,31.85,580828.0,185.43
2018-11-05,31.7,32.2,31.35,32.2,31.8,431460.0,136.96
2018-11-02,32.2,32.4,31.35,31.5,31.7,862747.0,275.79
2018-11-01,32.1,32.15,31.55,31.75,31.85,407406.0,129.65
2018-10-31,31.9,32.8,31.5,32.0,31.85,606937.0,193.5
2018-10-30,31.0,32.2,30.85,31.6,31.55,897420.0,283.94
2018-10-29,29.5,30.75,28.7,30.65,30.7,972561.0,294.66
2018-10-26,29.5,29.8,29.2,29.35,29.3,306513.0,90.11
2018-10-25,29.5,29.7,29.3,29.4,29.4,369823.0,108.98
2018-10-24,30.3,30.35,29.4,29.75,29.75,333807.0,99.27
2018-10-23,30.0,30.25,29.35,29.9,29.8,313218.0,93.45
2018-10-22,32.0,32.0,29.9,29.9,30.05,430521.0,131.51
2018-10-19,30.7,31.9,30.0,31.0,31.0,741228.0,228.57
2018-10-17,32.9,32.9,30.45,31.25,31.0,2390789.0,767.27
2018-10-16,30.9,31.35,30.55,31.35,31.35,493446.0,154.2
2018-10-15,28.9,30.0,28.9,30.0,29.9,1456183.0,431.75
2018-10-12,27.9,28.8,27.5,28.8,28.6,2261976.0,644.88
2018-10-11,27.5,28.0,27.45,27.45,27.45,2036168.0,560.62
2018-10-10,28.9,31.7,28.7,28.7,28.85,5581274.0,1624.86
2018-10-09,31.0,31.35,30.2,30.2,30.2,471981.0,142.86
2018-10-08,33.3,33.3,31.75,31.75,31.75,1247798.0,399.38
2018-10-05,36.0,36.0,32.6,33.9,33.4,2511680.0,848.05
2018-10-04,39.9,40.0,36.2,36.2,36.2,3025106.0,1124.68
2018-10-03,40.95,41.35,39.65,39.9,40.2,1202322.0,486.59
2018-10-01,41.1,41.8,39.5,40.35,40.7,793886.0,322.62
2018-09-28,45.05,45.15,39.8,41.3,41.15,805688.0,340.69
2018-09-27,44.1,45.2,42.8,44.45,44.2,906887.0,397.96
2018-09-26,44.1,44.8,43.0,43.5,43.6,1260191.0,552.68
2018-09-25,45.2,45.85,41.65,43.1,43.7,6113931.0,2706.58
2018-09-24,42.6,49.5,42.6,44.3,44.25,12052424.0,5300.3
2018-09-21,68.9,69.0,53.2,53.2,53.2,4190143.0,2418.66
2018-09-19,67.0,68.75,65.9,66.3,66.45,159883.0,106.7
2018-09-18,72.0,73.5,63.8,66.1,66.15,1180057.0,803.87
2018-09-17,67.0,68.95,66.2,67.5,67.5,76292.0,51.41
2018-09-14,67.0,67.5,66.5,66.95,67.0,54567.0,36.56
2018-09-12,67.1,67.1,65.5,66.4,66.2,1487319.0,984.98
2018-09-11,67.2,67.75,65.4,66.5,66.4,96142.0,64.46
2018-09-10,67.8,68.0,67.1,67.5,67.5,67731.0,45.78
2018-09-07,68.1,68.5,67.2,67.8,67.55,56491.0,38.24
2018-09-06,68.05,68.6,67.2,67.45,67.5,61818.0,41.85
2018-09-05,68.2,68.45,67.25,68.1,67.85,97207.0,65.73
2018-09-04,68.5,68.9,67.5,67.7,67.75,95513.0,65.04
2018-09-03,68.85,69.35,68.45,68.65,68.6,187006.0,128.85
2018-08-31,69.4,69.4,68.4,68.45,68.65,116486.0,80.1
2018-08-30,68.25,70.8,68.25,68.65,68.95,298810.0,207.69
