Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,34.72,35.03,34.51,34.96,34.91,253274.0,88.45
2018-11-28,35.02,35.29,34.65,34.7,34.74,226236.0,79.47
2018-11-27,35.14,35.29,34.75,35.0,35.19,339345.0,119.38
2018-11-26,35.03,35.25,34.77,35.2,35.18,338871.0,118.87
2018-11-22,35.02,35.35,35.0,35.0,35.02,185308.0,65.14
2018-11-21,35.15,35.59,35.15,35.3,35.26,183121.0,64.57
2018-11-20,35.49,35.62,35.22,35.3,35.27,263197.0,93.33
2018-11-19,35.4,35.62,35.16,35.51,35.57,196379.0,69.57
2018-11-16,35.62,35.62,35.26,35.36,35.37,155418.0,55.02
2018-11-15,35.48,35.63,35.31,35.38,35.44,276884.0,98.36
2018-11-14,35.35,35.64,35.14,35.5,35.47,400279.0,142.21
2018-11-13,34.8,35.5,34.8,35.33,35.33,227274.0,79.86
2018-11-12,35.59,35.59,35.0,35.0,35.02,187847.0,66.3
2018-11-09,35.35,35.59,35.07,35.42,35.43,173630.0,61.54
2018-11-07,35.4,35.43,34.75,35.4,35.37,110059.0,38.84
2018-11-06,35.29,35.53,35.19,35.31,35.31,142388.0,50.29
2018-11-05,35.48,35.6,35.01,35.31,35.34,206304.0,73.07
2018-11-02,35.2,35.69,35.0,35.55,35.47,343437.0,122.05
2018-11-01,34.66,35.17,34.53,35.1,34.99,255687.0,89.53
2018-10-31,34.5,34.74,33.8,34.5,34.66,205104.0,70.43
2018-10-30,34.4,34.53,34.13,34.3,34.32,122252.0,42.04
2018-10-29,33.5,34.49,33.27,34.4,34.35,254079.0,86.58
2018-10-26,33.88,33.88,33.35,33.6,33.39,160456.0,53.76
2018-10-25,33.8,33.95,33.6,33.7,33.76,151722.0,51.22
2018-10-24,33.9,34.23,33.73,34.04,34.01,170822.0,58.02
2018-10-23,33.5,33.95,33.25,33.65,33.75,197299.0,66.49
2018-10-22,34.01,34.24,33.78,33.88,33.85,189521.0,64.48
2018-10-19,34.0,34.26,33.61,34.04,33.96,148550.0,50.46
2018-10-17,34.32,34.8,34.01,34.2,34.06,155399.0,53.48
2018-10-16,34.1,34.49,34.0,34.49,34.41,156169.0,53.5
2018-10-15,34.18,34.73,33.73,34.11,34.1,129125.0,43.92
2018-10-12,33.2,34.26,33.17,34.18,34.15,215125.0,73.29
2018-10-11,33.0,33.8,33.0,33.71,33.58,275326.0,92.04
2018-10-10,32.9,33.9,32.78,33.75,33.78,253433.0,84.9
2018-10-09,33.5,33.64,32.8,32.99,32.91,228935.0,75.63
2018-10-08,33.4,33.4,32.67,33.13,33.04,435650.0,144.2
2018-10-05,35.01,35.15,33.3,33.41,33.5,643244.0,218.91
2018-10-04,35.48,35.64,35.05,35.05,35.2,483050.0,170.99
2018-10-03,35.4,35.85,35.02,35.36,35.53,414730.0,147.37
2018-10-01,35.25,35.59,34.7,35.57,35.47,793459.0,278.73
2018-09-28,36.23,36.23,35.05,35.48,35.38,1732277.0,617.04
2018-09-27,35.95,36.19,35.61,35.67,35.67,345613.0,123.79
2018-09-26,36.05,36.4,35.77,36.0,35.98,292034.0,105.1
2018-09-25,35.89,36.15,35.56,36.1,36.05,554519.0,198.91
2018-09-24,36.82,36.82,35.74,35.9,35.89,778852.0,281.59
2018-09-21,36.4,37.04,34.75,36.42,36.37,3208017.0,1177.16
2018-09-19,36.31,36.77,36.21,36.38,36.33,417063.0,152.25
2018-09-18,36.9,37.03,36.11,36.35,36.31,335984.0,122.88
2018-09-17,37.1,37.1,36.61,36.64,36.82,366201.0,135.06
2018-09-14,36.97,37.19,36.6,37.19,37.16,683906.0,253.44
2018-09-12,36.5,36.75,36.25,36.7,36.64,549818.0,200.55
2018-09-11,36.9,37.09,36.3,36.3,36.43,538479.0,197.31
2018-09-10,37.0,37.4,36.8,36.9,36.89,549054.0,203.48
2018-09-07,36.9,37.35,36.83,37.26,37.24,1571626.0,585.83
2018-09-06,37.25,37.45,36.61,36.67,36.94,456514.0,169.27
2018-09-05,37.2,37.38,36.86,37.24,37.2,858716.0,318.76
2018-09-04,38.0,38.1,37.2,37.3,37.27,583282.0,218.47
2018-09-03,38.1,38.46,37.7,37.73,37.79,1226012.0,468.62
2018-08-31,37.99,38.29,37.91,38.15,38.21,2172973.0,829.22
2018-08-30,37.8,38.07,37.67,38.0,38.01,5131174.0,1947.65
2018-08-29,37.5,37.98,37.3,37.92,37.8,4562171.0,1729.32
2018-08-28,37.9,38.25,37.4,37.55,37.67,2095327.0,794.25
2018-08-27,37.25,37.97,37.25,37.87,37.9,6672263.0,2525.65
2018-08-24,37.28,37.47,37.06,37.31,37.34,1328478.0,496.17
2018-08-23,37.3,37.44,36.97,37.26,37.28,3412510.0,1270.04
2018-08-21,37.01,37.33,37.0,37.28,37.3,4442656.0,1653.21
2018-08-20,36.51,37.18,36.5,37.07,37.14,3378151.0,1250.8
2018-08-17,36.9,36.9,36.3,36.61,36.61,938191.0,343.16
2018-08-16,36.49,36.67,36.01,36.35,36.31,813957.0,296.99
2018-08-14,36.3,36.6,36.3,36.42,36.37,784093.0,285.61
2018-08-13,36.65,36.65,36.13,36.35,36.32,841216.0,307.05
2018-08-10,37.0,37.06,36.68,36.78,36.74,1906694.0,702.59
2018-08-09,36.75,37.07,36.57,37.06,37.03,5281307.0,1951.43
2018-08-08,36.21,36.63,36.21,36.37,36.57,1544750.0,563.89
2018-08-07,36.11,36.79,36.11,36.21,36.41,2136845.0,781.16
2018-08-06,36.45,36.76,36.06,36.56,36.61,3710242.0,1359.74
2018-08-03,36.15,36.42,35.8,36.18,36.37,5521405.0,1997.37
2018-08-02,35.89,35.95,35.65,35.83,35.84,3993042.0,1431.77
2018-08-01,35.5,35.89,35.5,35.71,35.82,2721966.0,973.08
2018-07-31,35.65,35.82,35.47,35.65,35.6,2125423.0,758.29
2018-07-30,35.4,35.84,35.31,35.65,35.76,4557874.0,1628.23
2018-07-27,35.05,35.51,35.0,35.4,35.47,10567887.0,3736.89
2018-07-26,34.8,35.01,34.6,34.92,34.96,12012702.0,4187.8
2018-07-25,34.8,34.8,34.5,34.52,34.61,4352624.0,1508.15
2018-07-24,34.19,34.76,34.1,34.7,34.72,22963397.0,7924.03
2018-07-23,33.62,34.21,33.62,34.16,34.18,11561863.0,3944.63
2018-07-20,33.56,33.85,33.55,33.68,33.79,945726.0,319.41
2018-07-19,33.99,33.99,33.56,33.72,33.73,1500920.0,507.97
2018-07-18,34.0,34.16,33.67,33.81,33.8,4259060.0,1446.49
2018-07-17,33.53,33.96,33.21,33.91,33.91,3570139.0,1203.89
2018-07-16,33.51,33.72,33.42,33.42,33.45,5692611.0,1913.01
2018-07-13,34.1,34.25,33.69,33.72,33.72,2213196.0,750.5
2018-07-12,33.35,34.3,33.35,34.11,34.14,14767032.0,5052.32
2018-07-11,34.34,34.34,33.86,33.92,33.91,6436169.0,2191.97
2018-07-10,34.0,34.33,33.75,34.24,34.3,54764088.0,18701.52
2018-07-09,33.75,33.99,33.5,33.94,33.95,46898961.0,15888.54
2018-07-06,33.31,33.79,33.31,33.6,33.62,38805272.0,13047.55
2018-07-05,33.26,33.46,33.2,33.41,33.4,37199980.0,12411.54
2018-07-04,33.45,33.46,33.23,33.29,33.36,52327241.0,17450.98
2018-07-03,33.5,33.52,33.11,33.47,33.46,73128131.0,24439.14
2018-07-02,33.5,33.66,33.06,33.21,33.32,115566752.0,38381.27
2018-06-29,33.25,33.67,33.15,33.67,33.64,476391.0,159.52
2018-06-28,33.29,33.37,32.9,33.07,33.11,510481.0,169.28
2018-06-27,33.99,34.08,33.25,33.33,33.35,386416.0,129.86
2018-06-26,33.7,34.24,33.7,33.98,34.03,324602.0,110.81
2018-06-25,34.49,34.79,34.1,34.14,34.14,234039.0,80.24
2018-06-22,34.29,34.72,34.29,34.66,34.65,728672.0,251.77
2018-06-21,34.79,35.0,34.2,34.25,34.38,7144561.0,2455.95
2018-06-20,34.95,35.05,34.67,34.74,34.73,539993.0,187.68
2018-06-19,35.09,35.1,34.85,34.95,34.92,499632.0,174.59
2018-06-18,35.13,35.28,34.9,35.12,35.11,479115.0,168.29
2018-06-15,35.59,35.59,35.1,35.2,35.13,357521.0,126.14
2018-06-14,36.1,36.1,35.55,35.65,35.6,224656.0,80.17
2018-06-13,36.0,36.12,35.8,35.86,35.92,600628.0,216.5
2018-06-12,35.8,36.03,35.7,35.95,35.97,392530.0,141.14
2018-06-11,35.89,35.98,35.61,35.7,35.77,361945.0,129.89
2018-06-08,35.75,35.9,35.59,35.7,35.76,177232.0,63.28
2018-06-07,35.65,36.02,35.65,35.99,35.94,815766.0,292.93
2018-06-06,35.19,35.69,35.1,35.65,35.64,256944.0,91.16
2018-06-05,35.5,35.5,35.12,35.3,35.22,367455.0,129.61
2018-06-04,35.85,35.99,35.47,35.6,35.49,269367.0,96.05
2018-06-01,36.21,36.29,35.8,35.85,35.87,435358.0,156.6
2018-05-31,36.58,36.58,35.81,36.15,36.16,406408.0,146.54
2018-05-30,36.09,36.16,35.8,36.0,36.01,223282.0,80.43
2018-05-29,36.45,36.51,35.86,36.11,36.14,741431.0,270.01
2018-05-28,36.19,36.42,35.13,36.09,36.3,669919.0,242.78
2018-05-25,35.0,35.7,35.0,35.45,35.57,253908.0,90.05
2018-05-24,35.3,35.45,35.13,35.15,35.24,241028.0,84.94
2018-05-23,35.6,35.68,35.25,35.35,35.3,199410.0,70.68
2018-05-22,35.42,35.68,35.3,35.48,35.53,254609.0,90.36
2018-05-21,35.88,35.88,35.3,35.45,35.42,334365.0,118.5
2018-05-18,36.05,36.05,35.37,35.38,35.46,281757.0,100.54
2018-05-17,36.01,36.29,35.82,35.89,35.87,243115.0,87.59
2018-05-16,36.09,36.24,35.77,36.07,36.08,971663.0,350.62
2018-05-15,36.7,36.97,36.15,36.2,36.2,1189588.0,436.82
2018-05-14,36.5,36.71,36.2,36.45,36.48,1153637.0,422.49
2018-05-11,36.1,36.55,36.06,36.5,36.51,788877.0,287.27
2018-05-10,36.6,36.6,36.0,36.0,36.18,429012.0,155.84
2018-05-09,36.2,36.54,36.2,36.44,36.44,566504.0,206.41
2018-05-08,36.2,36.55,36.06,36.3,36.43,697759.0,254.3
2018-05-07,35.88,36.43,35.75,36.2,36.39,676043.0,244.75
2018-05-04,36.2,36.29,35.83,36.0,35.88,265051.0,95.57
2018-05-03,36.05,36.39,36.02,36.18,36.24,679598.0,245.87
2018-05-02,36.45,36.45,36.03,36.23,36.25,753265.0,273.32
2018-04-30,36.09,36.49,36.02,36.3,36.33,609209.0,221.67
2018-04-27,35.65,36.37,35.6,36.3,36.33,883466.0,319.64
2018-04-26,35.59,35.88,35.5,35.55,35.66,287617.0,102.33
2018-04-25,36.25,36.48,35.6,35.8,35.67,233047.0,83.31
2018-04-24,36.0,36.11,35.83,36.07,36.03,328997.0,118.39
2018-04-23,35.89,36.39,35.7,36.12,36.11,542378.0,196.07
2018-04-20,36.45,36.45,35.96,36.0,36.11,383850.0,138.49
2018-04-19,36.35,36.5,35.6,36.4,36.45,555072.0,201.95
