Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,28.0,28.0,27.55,27.75,27.75,10791.0,2.98
2018-11-28,28.0,28.0,27.3,27.75,27.7,18054.0,5.02
2018-11-27,28.0,28.0,27.75,27.95,27.9,95864.0,26.74
2018-11-26,27.95,27.95,27.7,27.75,27.75,24514.0,6.82
2018-11-22,28.15,28.15,27.95,28.1,27.95,6421.0,1.79
2018-11-21,28.1,28.1,27.7,28.0,27.95,15632.0,4.36
2018-11-20,28.0,28.35,27.65,28.1,28.0,12935.0,3.63
2018-11-19,29.0,29.5,28.0,28.1,28.1,15483.0,4.37
2018-11-16,29.9,29.9,27.9,28.35,28.2,28947.0,8.19
2018-11-15,26.15,33.1,26.15,28.45,28.45,132986.0,38.81
2018-11-14,280.05,280.95,278.25,278.7,278.55,692.0,1.93
2018-11-13,287.7,287.7,281.2,281.2,281.9,1188.0,3.36
2018-11-12,285.0,287.6,282.35,283.0,283.0,1141.0,3.26
2018-11-09,289.0,289.0,284.4,286.65,285.1,1081.0,3.09
2018-11-07,290.0,292.0,288.0,289.5,289.1,405.0,1.17
2018-11-06,291.0,292.0,286.4,288.35,288.4,1034.0,2.99
2018-11-05,290.0,291.6,288.0,289.55,289.5,16351.0,47.46
2018-11-02,287.25,289.9,287.25,287.55,288.0,1344.0,3.87
2018-11-01,287.0,289.9,286.6,288.0,288.25,1106.0,3.19
2018-10-31,287.3,289.95,287.25,287.25,287.6,1037.0,2.99
2018-10-30,286.55,290.75,285.3,288.0,287.3,847.0,2.44
2018-10-29,290.0,290.0,287.4,288.8,287.5,1409.0,4.06
2018-10-26,292.05,292.1,288.0,288.0,288.15,1122.0,3.25
2018-10-25,288.65,292.1,288.6,292.05,291.7,2301.0,6.7
2018-10-24,287.55,292.0,287.05,287.6,288.7,1645.0,4.76
2018-10-23,287.0,291.0,287.0,290.4,289.9,1261.0,3.65
2018-10-22,289.0,290.0,286.2,286.55,287.85,2002.0,5.78
2018-10-19,288.7,289.75,287.75,288.9,288.9,549.0,1.59
2018-10-17,286.95,288.8,284.7,288.75,288.75,1608.0,4.61
2018-10-16,290.0,290.0,286.6,287.0,286.95,1562.0,4.51
2018-10-15,288.0,289.85,287.75,289.0,288.6,3467.0,10.0
