Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,83.0,88.8,82.0,86.24,86.24,299.0,0.25
2018-11-28,85.79,85.79,85.78,85.78,85.78,144.0,0.12
2018-11-27,84.77,85.05,84.77,85.01,85.01,133.0,0.11
2018-11-26,86.0,91.15,83.56,84.85,84.85,2506.0,2.14
2018-11-22,84.42,84.42,84.01,84.01,84.01,479.0,0.4
2018-11-21,86.0,89.0,84.24,84.24,84.54,125.0,0.11
2018-11-20,85.59,85.59,85.0,85.0,85.0,20165.0,17.14
2018-11-19,85.42,85.62,85.12,85.32,85.32,327.0,0.28
2018-11-16,85.46,85.46,85.0,85.0,85.0,214.0,0.18
2018-11-15,84.49,84.81,84.49,84.7,84.7,500104.0,423.09
2018-11-14,84.78,84.78,84.26,84.26,84.26,35.0,0.03
2018-11-13,85.0,88.9,82.04,83.25,83.25,581.0,0.49
2018-11-12,84.81,84.81,83.57,83.57,83.57,1444.0,1.21
2018-11-09,84.02,84.18,84.02,84.18,84.18,2.0,0.0
2018-11-06,83.53,83.53,83.33,83.33,83.33,173.0,0.14
2018-11-05,83.6,83.6,83.2,83.2,83.2,29.0,0.02
2018-11-02,83.83,83.83,83.63,83.63,83.63,21.0,0.02
2018-11-01,82.61,82.76,82.49,82.76,82.72,36.0,0.03
2018-10-31,82.0,83.12,81.29,83.12,83.12,27130.0,22.26
2018-10-30,82.25,82.49,82.0,82.0,82.0,164.0,0.13
2018-10-29,81.43,82.35,81.43,82.27,82.33,299.0,0.24
2018-10-26,81.46,81.54,81.06,81.54,81.54,753.0,0.61
2018-10-25,81.86,82.18,81.65,82.18,82.18,375.0,0.31
2018-10-24,82.2,82.2,81.6,81.6,81.6,222.0,0.18
2018-10-23,82.28,82.32,81.6,82.0,81.96,1741.0,1.43
2018-10-22,83.41,83.73,82.93,83.02,83.07,717.0,0.6
2018-10-19,86.0,87.9,83.0,83.5,83.47,1226.0,1.02
2018-10-17,85.61,85.61,84.44,84.44,84.44,132.0,0.11
2018-10-16,84.97,85.09,84.93,85.0,85.0,273.0,0.23
2018-10-15,84.3,84.4,83.89,84.35,84.35,415.0,0.35
2018-10-12,83.84,84.32,83.84,84.32,84.32,92.0,0.08
2018-10-11,82.75,82.95,81.95,82.79,82.79,1427.0,1.17
2018-10-10,84.0,84.2,83.64,84.2,84.2,272.0,0.23
2018-10-09,83.63,83.63,83.04,83.44,83.44,1216.0,1.01
2018-10-08,83.56,83.89,82.75,82.93,82.93,1177.0,0.98
2018-10-05,85.0,85.0,83.61,83.61,83.7,2479.0,2.09
2018-10-04,86.0,86.0,84.59,84.95,84.95,3313.0,2.82
2018-10-03,87.2,87.28,86.5,86.5,86.5,497.0,0.43
2018-10-01,87.12,88.05,86.9,88.05,88.05,372.0,0.32
2018-09-28,88.05,88.14,87.0,87.42,87.28,1228.0,1.07
2018-09-27,88.43,88.43,87.95,88.03,88.03,638.0,0.56
2018-09-26,88.7,88.7,88.0,88.0,88.0,292.0,0.26
