Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,66.04,66.3,65.65,66.3,66.3,7180.0,4.75
2018-11-28,68.0,69.0,64.55,65.72,65.72,1518.0,1.0
2018-11-27,65.63,65.8,65.48,65.74,65.74,1185.0,0.78
2018-11-26,66.0,66.0,65.29,65.6,65.6,4987.0,3.28
2018-11-22,66.44,66.44,65.66,65.69,65.69,1461.0,0.96
2018-11-21,68.0,69.0,65.94,66.41,66.4,1929.0,1.27
2018-11-20,66.15,66.69,66.07,66.09,66.09,11662.0,7.72
2018-11-19,68.0,69.15,66.0,66.19,66.19,2876.0,1.9
2018-11-16,68.0,69.3,65.55,65.83,65.83,2135.0,1.41
2018-11-15,65.55,66.29,65.55,65.92,65.92,91027.0,59.98
2018-11-14,66.14,66.18,65.55,65.55,65.64,274843.0,181.49
2018-11-13,65.0,65.7,62.5,65.64,65.64,2463.0,1.61
2018-11-12,66.32,66.34,65.62,65.62,65.62,7154.0,4.72
2018-11-09,66.16,66.43,65.99,66.05,66.05,5062.0,3.35
2018-11-07,68.0,69.0,63.02,65.52,65.78,11652.0,7.65
2018-11-06,65.9,65.99,65.41,65.41,65.41,10869.0,7.12
2018-11-05,68.0,73.5,65.69,65.9,65.91,7784.0,5.2
2018-11-02,67.0,68.0,66.27,66.3,66.3,17689.0,11.74
2018-11-01,65.46,66.05,65.46,65.75,65.75,10288.0,6.75
2018-10-31,64.69,65.2,64.0,65.13,65.13,5949.0,3.82
2018-10-30,64.0,64.57,64.0,64.34,64.33,127881.0,82.24
2018-10-29,61.72,63.76,61.72,63.76,63.58,39889.0,25.32
2018-10-26,63.0,65.7,61.14,61.72,61.51,8484.0,5.23
2018-10-25,61.75,62.0,61.21,61.94,61.99,16485.0,10.18
2018-10-24,62.5,62.5,61.29,62.2,62.2,166694.0,102.98
2018-10-23,62.0,62.0,60.82,61.3,61.3,22080.0,13.53
2018-10-22,62.37,62.7,61.78,61.78,61.78,14756.0,9.16
2018-10-19,67.0,70.0,61.34,62.25,62.22,3648.0,2.34
2018-10-17,64.0,64.11,62.29,62.29,62.32,47008.0,29.67
2018-10-16,62.75,63.67,59.6,63.55,63.55,11540.0,7.31
2018-10-15,64.0,64.0,62.5,63.26,63.26,41835.0,26.36
2018-10-12,62.81,63.04,62.32,62.77,62.79,11640.0,7.31
2018-10-11,62.0,62.11,60.8,60.91,61.0,19113.0,11.77
2018-10-10,62.0,63.9,61.53,62.69,63.01,11993.0,7.49
2018-10-09,60.32,60.51,59.5,60.12,60.34,7115.0,4.28
2018-10-08,61.0,61.42,59.59,60.0,60.32,33837.0,20.54
2018-10-05,62.85,62.85,61.18,61.18,61.39,14983.0,9.32
2018-10-04,63.58,63.58,62.16,62.8,62.85,12497.0,7.86
2018-10-03,66.0,67.8,64.05,64.05,64.12,3512.0,2.27
2018-10-01,64.25,65.23,63.3,65.07,65.21,5848.0,3.74
2018-09-28,66.05,66.05,64.08,64.72,64.63,5910.0,3.84
2018-09-27,66.7,66.73,65.5,65.5,65.5,26984.0,17.8
2018-09-26,70.0,70.0,66.5,66.68,66.99,3197.0,2.19
2018-09-25,65.75,66.96,65.05,66.96,66.95,39911.0,26.36
2018-09-24,67.3,67.3,65.55,66.06,66.05,21959.0,14.44
2018-09-21,68.96,68.96,64.25,67.72,67.37,13887.0,9.3
2018-09-19,69.11,69.11,68.18,68.6,68.6,3566.0,2.45
2018-09-18,69.78,69.9,68.53,68.53,68.73,2460.0,1.71
2018-09-17,70.0,70.5,69.54,69.75,69.75,10685.0,7.45
2018-09-14,69.0,70.26,69.0,70.0,70.17,4571.0,3.18
2018-09-12,68.66,68.95,67.86,68.66,68.66,7049.0,4.84
2018-09-11,69.4,69.71,68.39,68.39,68.4,4216.0,2.92
2018-09-10,70.37,70.37,69.23,69.28,69.28,6102.0,4.26
2018-09-07,69.27,70.53,69.27,70.5,70.5,2248.0,1.58
2018-09-06,69.82,69.85,69.41,69.41,69.41,1478.0,1.03
2018-09-05,70.0,70.0,68.5,69.27,69.26,6440.0,4.45
2018-09-04,71.15,71.61,69.72,69.75,69.92,4061.0,2.88
2018-09-03,73.0,77.0,70.5,71.0,71.99,6956.0,5.11
2018-08-31,72.63,72.97,72.12,72.24,72.24,1747.0,1.26
2018-08-30,72.21,72.44,71.89,71.98,71.98,26135.0,18.86
2018-08-29,71.92,72.46,71.88,71.88,71.88,4646.0,3.35
2018-08-28,72.49,72.49,71.64,71.83,71.82,3949.0,2.84
2018-08-27,72.0,72.2,71.5,71.95,71.95,4866.0,3.49
2018-08-24,71.71,71.71,70.92,71.41,71.06,16775.0,11.92
2018-08-23,71.6,73.9,70.0,70.89,70.89,2848.0,2.02
2018-08-21,70.83,71.07,70.55,70.79,70.76,4857.0,3.44
2018-08-20,64.6,70.65,59.0,70.33,70.36,5954.0,4.18
2018-08-17,69.8,69.86,69.39,69.86,69.86,3970.0,2.76
2018-08-16,69.57,69.93,69.12,69.12,69.33,10661.0,7.41
2018-08-14,69.3,69.5,69.06,69.5,69.5,3241.0,2.25
2018-08-13,69.2,69.4,68.67,69.15,69.15,42698.0,29.53
2018-08-10,70.0,70.0,69.4,69.4,69.4,13062.0,9.13
2018-08-09,69.75,70.0,69.64,70.0,70.0,4930.0,3.44
2018-08-08,69.3,69.91,69.3,69.57,69.57,2518.0,1.75
2018-08-07,69.5,69.77,69.0,69.29,69.26,70968.0,49.17
2018-08-06,69.45,69.6,69.2,69.23,69.23,19110.0,13.26
2018-08-03,68.99,69.5,68.99,69.35,69.34,225940.0,156.15
2018-08-02,68.4,69.37,68.25,68.6,68.63,275989.0,190.04
2018-08-01,69.0,69.5,68.4,68.4,68.4,39678.0,27.34
2018-07-31,68.51,68.65,68.21,68.65,68.65,37364.0,25.59
