Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,116.4,117.33,116.4,117.33,117.33,810.0,0.95
2018-11-28,117.0,117.0,116.4,116.4,116.4,71.0,0.08
2018-11-27,115.44,115.99,114.79,115.99,115.99,219.0,0.25
2018-11-26,115.0,115.0,114.0,115.0,115.0,1054.0,1.21
2018-11-22,118.0,118.0,114.53,114.53,114.53,186.0,0.21
2018-11-21,118.0,118.0,114.46,115.2,115.11,264.0,0.3
2018-11-20,118.0,118.0,115.7,115.7,115.7,1314.0,1.52
2018-11-19,118.0,118.0,116.0,116.34,116.34,1448.0,1.68
2018-11-16,117.0,117.0,115.14,115.54,115.54,435.0,0.5
2018-11-15,117.0,117.0,114.74,115.1,115.1,245.0,0.28
2018-11-14,117.0,117.0,113.0,114.43,114.43,275.0,0.32
2018-11-13,113.73,114.24,113.39,114.24,114.24,467.0,0.53
2018-11-12,117.0,118.0,113.84,113.84,113.84,1288.0,1.48
2018-11-09,117.0,117.0,114.33,115.07,115.11,5505.0,6.3
2018-11-07,116.55,116.55,114.75,114.75,114.79,2774.0,3.18
2018-11-06,117.0,117.0,114.27,114.71,114.71,114.0,0.13
2018-11-05,117.0,117.0,113.87,114.22,114.22,946.0,1.08
2018-11-02,110.0,114.87,110.0,114.62,114.62,553.0,0.62
2018-11-01,112.0,112.89,112.0,112.89,112.88,314.0,0.35
2018-10-31,110.89,112.87,109.88,112.87,112.6,2037.0,2.25
2018-10-30,112.0,112.0,110.6,110.6,110.6,631.0,0.7
2018-10-29,108.8,110.7,108.8,110.55,110.55,1330.0,1.45
2018-10-26,109.0,109.5,108.5,108.67,108.67,319.0,0.35
2018-10-25,109.7,109.84,109.42,109.69,109.61,2378.0,2.61
2018-10-24,119.0,119.0,110.0,110.0,110.0,387.0,0.43
2018-10-23,113.0,113.0,109.51,109.61,109.61,9325.0,10.24
2018-10-22,113.0,113.0,111.0,111.0,111.0,574.0,0.64
2018-10-19,113.0,113.0,111.38,111.7,111.7,894.0,1.0
2018-10-17,116.0,116.0,113.09,113.09,113.09,1149.0,1.31
2018-10-16,115.0,115.0,114.33,114.43,114.43,132.0,0.15
2018-10-15,115.0,115.0,112.38,112.58,112.58,350.0,0.4
2018-10-12,115.0,115.0,112.92,113.51,113.51,171.0,0.19
