Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,111.0,112.99,111.0,112.86,112.71,32447.0,36.51
2018-11-28,111.0,111.95,110.15,111.27,111.61,21264.0,23.73
2018-11-27,110.0,111.31,109.52,110.98,110.96,25327.0,28.01
2018-11-26,109.06,110.65,109.05,110.35,110.42,64509.0,70.68
2018-11-22,110.6,110.64,109.22,109.59,109.38,26104.0,28.79
2018-11-21,111.0,111.5,109.86,110.11,110.2,21885.0,24.12
2018-11-20,111.0,111.75,110.7,110.7,110.98,28619.0,31.89
2018-11-19,110.5,111.97,110.15,111.77,111.75,66915.0,74.57
2018-11-16,110.06,111.3,110.06,111.1,110.98,38654.0,42.92
2018-11-15,109.15,110.74,109.0,110.07,110.35,46463.0,51.31
2018-11-14,110.85,110.85,109.15,110.06,109.76,23979.0,26.44
2018-11-13,109.48,110.33,107.25,109.91,109.98,47372.0,51.79
2018-11-12,110.85,110.85,108.82,108.93,109.0,67458.0,74.31
2018-11-09,110.97,110.97,109.67,109.81,109.89,65544.0,72.21
2018-11-07,109.3,115.0,106.7,110.4,110.33,24306.0,26.82
2018-11-06,110.0,110.24,109.15,109.35,109.36,40869.0,44.83
2018-11-05,109.55,109.75,108.25,109.6,109.46,70059.0,76.61
2018-11-02,108.0,110.26,107.15,109.48,109.5,35223.0,38.63
2018-11-01,108.0,109.0,106.55,107.69,107.79,110941.0,119.83
2018-10-31,106.0,108.0,105.1,107.71,107.74,36952.0,39.28
2018-10-30,105.25,107.0,105.25,106.0,105.97,24385.0,25.99
2018-10-29,105.0,106.77,104.01,106.62,106.48,60032.0,63.14
2018-10-26,107.0,108.0,104.0,104.08,104.38,121129.0,126.75
2018-10-25,107.0,107.0,104.6,105.13,105.32,31309.0,32.89
2018-10-24,105.0,106.64,105.0,106.13,106.09,36570.0,38.66
2018-10-23,106.5,106.5,104.85,105.82,105.4,31484.0,33.26
2018-10-22,108.0,108.0,106.0,106.45,106.14,255710.0,274.42
2018-10-19,107.15,109.0,105.0,105.0,106.21,588571.0,626.79
