Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,52.8,53.04,52.57,52.92,52.91,1350.0,0.71
2018-11-28,52.0,52.76,52.0,52.64,52.67,4789.0,2.51
2018-11-27,51.88,52.12,51.6,52.12,51.89,7465.0,3.86
2018-11-26,51.32,51.68,50.72,51.54,51.54,1558.0,0.8
2018-11-22,51.82,51.82,51.12,51.12,51.12,7657.0,3.93
2018-11-21,52.1,52.1,51.4,51.57,51.59,6496.0,3.36
2018-11-20,52.79,52.8,52.1,52.23,52.23,2182.0,1.15
2018-11-19,53.0,53.0,52.67,52.98,52.79,1899.0,1.0
2018-11-16,52.76,52.94,52.55,52.82,52.74,1700.0,0.9
2018-11-15,52.53,53.06,52.35,52.63,52.63,1520.0,0.8
2018-11-14,54.0,57.8,52.34,52.61,52.53,3027.0,1.63
2018-11-13,52.1,52.67,52.06,52.66,52.65,5040.0,2.64
2018-11-12,52.45,52.85,52.2,52.2,52.2,5208.0,2.74
2018-11-09,52.5,52.76,52.4,52.57,52.54,3053.0,1.61
2018-11-07,54.0,54.5,51.0,52.81,52.79,1444.0,0.76
2018-11-06,52.66,52.66,52.3,52.45,52.45,3133.0,1.64
2018-11-05,52.13,52.32,52.01,52.32,52.31,1078.0,0.56
2018-11-02,52.14,52.64,52.14,52.29,52.29,41250.0,21.57
2018-11-01,52.5,52.5,51.51,51.98,51.98,2206.0,1.15
2018-10-31,51.18,52.1,50.9,52.1,52.01,1856.0,0.96
2018-10-30,51.0,51.32,50.72,51.02,51.02,1872.0,0.96
2018-10-29,49.32,51.0,49.32,51.0,50.85,45743.0,23.22
2018-10-26,52.0,52.0,48.96,49.03,49.09,17226.0,8.47
2018-10-25,50.0,50.0,49.11,49.66,49.6,2838.0,1.4
2018-10-24,50.46,50.46,49.51,50.02,49.93,2931.0,1.46
2018-10-23,50.3,50.35,49.71,50.17,49.78,5343.0,2.67
2018-10-22,50.95,51.07,50.6,50.75,50.68,4541.0,2.31
2018-10-19,51.85,51.85,50.64,50.9,50.88,5989.0,3.04
2018-10-17,53.0,53.21,51.86,51.86,51.93,10400.0,5.47
2018-10-16,52.0,52.53,51.94,52.34,52.34,1664.0,0.87
2018-10-15,51.5,51.82,51.26,51.82,51.82,40716.0,20.89
