Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,380.87,382.29,379.15,382.29,382.25,291.0,1.11
2018-11-28,376.0,377.89,375.78,377.49,377.49,54.0,0.2
2018-11-27,372.81,375.39,371.72,375.39,375.39,87.0,0.32
2018-11-26,369.82,370.01,369.82,370.0,370.0,95.0,0.35
2018-11-22,373.03,373.23,370.0,370.0,370.0,55.0,0.2
2018-11-21,374.8,374.8,369.82,370.0,370.0,80.0,0.3
2018-11-20,376.0,376.91,374.59,374.59,374.59,72.0,0.27
2018-11-19,376.0,386.0,373.68,373.68,373.68,170.0,0.64
2018-11-16,372.08,374.96,372.08,373.68,373.68,15.0,0.06
2018-11-15,365.0,372.61,365.0,372.61,372.61,52.0,0.19
2018-11-14,370.31,370.31,370.11,370.11,370.11,17.0,0.06
2018-11-13,366.74,369.29,366.74,369.29,369.29,99.0,0.36
2018-11-12,375.0,390.0,370.92,371.12,371.12,140.0,0.53
2018-11-09,371.53,372.14,370.66,370.66,370.66,42.0,0.16
2018-11-07,375.0,375.0,370.32,370.52,371.45,53.0,0.2
2018-11-06,367.4,370.3,367.4,370.3,370.3,215.0,0.79
2018-11-05,371.0,381.0,367.4,367.4,367.4,180.0,0.67
2018-11-02,366.0,369.89,366.0,369.66,369.66,81.0,0.3
2018-11-01,363.6,363.97,362.0,363.97,363.97,167.0,0.61
2018-10-31,358.56,362.34,355.0,362.34,362.34,28.0,0.1
2018-10-30,359.49,359.49,357.36,357.36,357.36,123.0,0.44
2018-10-29,352.37,356.32,350.77,356.32,356.32,108.0,0.38
2018-10-26,353.0,353.19,351.29,352.06,352.06,168.0,0.59
2018-10-25,355.81,355.81,355.1,355.17,355.12,35.0,0.12
2018-10-24,359.02,359.02,356.99,358.02,358.02,99.0,0.35
2018-10-23,357.0,358.19,356.3,357.78,357.78,14.0,0.05
2018-10-22,363.05,363.72,361.0,361.0,361.0,676.0,2.45
2018-10-19,370.0,370.0,358.96,358.96,358.96,57.0,0.21
2018-10-17,370.0,373.82,370.0,370.3,370.3,357.0,1.32
2018-10-16,369.73,370.53,369.0,370.0,370.06,89.0,0.33
2018-10-15,370.0,377.0,364.24,365.75,365.75,166.0,0.61
2018-10-12,361.0,366.0,361.0,366.0,366.0,174.0,0.63
2018-10-11,366.0,366.0,356.3,357.0,357.0,119.0,0.43
2018-10-10,366.0,380.0,355.0,366.07,366.03,139.0,0.51
2018-10-09,362.85,362.85,362.55,362.55,362.55,7.0,0.03
2018-10-08,360.65,364.6,357.5,362.45,362.45,73.0,0.26
2018-10-05,368.77,368.77,361.25,361.34,361.25,556.0,2.01
2018-10-04,375.0,375.0,368.19,370.0,370.02,720.0,2.66
2018-10-03,384.0,384.0,378.46,378.46,378.64,255.0,0.97
2018-10-01,375.0,384.49,373.0,384.49,384.49,161.0,0.61
2018-09-28,390.0,405.0,373.7,379.94,379.94,294.0,1.12
2018-09-27,385.14,385.14,383.39,384.06,384.06,13.0,0.05
2018-09-26,386.13,386.13,381.96,383.68,383.68,38.0,0.15
2018-09-25,380.02,384.54,378.23,384.54,384.54,563.0,2.16
2018-09-24,390.0,416.0,375.0,381.67,381.67,341.0,1.35
2018-09-21,393.58,394.36,383.32,383.32,383.32,124.0,0.48
2018-09-19,393.36,393.79,388.42,388.42,388.42,45.0,0.18
2018-09-18,395.63,395.63,395.0,395.62,395.62,114.0,0.45
