Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,60.3,60.3,59.75,59.95,60.0,2362766.0,1417.37
2018-11-28,60.5,60.5,59.8,59.9,59.9,2065582.0,1240.45
2018-11-27,60.4,60.5,59.7,60.35,60.2,3060617.0,1839.25
2018-11-26,60.1,60.4,59.9,60.2,60.15,2123632.0,1276.85
2018-11-22,60.7,60.7,59.85,60.0,59.95,1349398.0,812.15
2018-11-21,60.4,60.75,60.05,60.3,60.3,1689295.0,1019.41
2018-11-20,60.0,61.0,59.8,60.2,60.25,3116896.0,1882.17
2018-11-19,61.2,61.2,60.35,61.05,60.75,2727142.0,1659.8
2018-11-16,60.9,61.45,59.85,61.1,60.9,2982947.0,1806.63
2018-11-15,59.9,61.3,59.8,60.65,60.75,4061711.0,2464.07
2018-11-14,60.1,60.9,59.0,60.75,60.6,9849399.0,5900.74
2018-11-13,60.5,60.65,59.8,59.9,59.95,2533575.0,1523.69
2018-11-12,61.7,62.05,59.8,60.25,60.4,3371370.0,2046.34
2018-11-09,59.8,61.7,59.6,61.25,61.2,7124838.0,4345.31
2018-11-07,59.7,59.8,59.4,59.7,59.55,269391.0,160.42
2018-11-06,59.9,60.0,59.2,59.35,59.3,1694995.0,1008.3
2018-11-05,59.0,60.0,59.0,60.0,59.75,2841956.0,1688.62
2018-11-02,59.7,60.05,59.0,59.05,59.15,3740402.0,2220.5
2018-11-01,59.35,59.75,59.0,59.35,59.35,2579102.0,1529.68
2018-10-31,59.85,60.0,58.7,59.1,59.2,4167547.0,2470.55
2018-10-30,59.75,60.9,59.2,59.6,59.7,6666242.0,4004.69
2018-10-29,59.5,60.2,59.05,59.6,59.6,3564570.0,2129.08
2018-10-26,59.2,59.75,58.15,59.4,59.45,6126713.0,3616.77
2018-10-25,59.1,59.35,58.6,59.05,58.9,2726376.0,1608.18
2018-10-24,59.4,59.45,58.7,59.0,59.15,2181763.0,1289.71
2018-10-23,59.0,59.55,58.6,59.3,59.15,3262121.0,1923.04
2018-10-22,59.4,59.9,58.6,59.25,59.25,3826212.0,2268.26
2018-10-19,59.15,60.4,58.65,59.5,59.35,5973559.0,3555.21
2018-10-17,59.6,59.8,59.0,59.15,59.2,3412915.0,2022.44
2018-10-16,59.4,59.85,59.2,59.5,59.5,7430594.0,4427.47
2018-10-15,59.25,59.65,59.0,59.3,59.35,6503228.0,3852.8
2018-10-12,59.25,59.5,58.6,59.05,59.05,8704200.0,5143.01
2018-10-11,58.0,59.0,57.8,58.8,58.8,8209949.0,4807.49
2018-10-10,58.9,59.4,58.5,59.1,59.0,8196200.0,4838.62
2018-10-09,58.6,59.05,58.0,58.85,58.8,8794024.0,5149.92
2018-10-08,57.35,59.05,56.9,58.45,58.65,11911183.0,6948.78
2018-10-05,59.0,59.3,56.2,57.15,57.4,27142321.0,15628.16
2018-10-04,54.7,57.6,54.45,57.05,56.95,17377252.0,9771.83
2018-10-03,53.85,57.1,53.6,55.8,55.65,14051084.0,7820.29
2018-10-01,50.6,54.55,48.5,54.5,54.1,14619850.0,7594.44
2018-09-28,48.8,51.3,47.5,50.5,50.2,16102097.0,7975.69
2018-09-27,52.35,52.7,47.6,49.4,48.85,8442080.0,4230.82
2018-09-26,52.1,53.15,51.35,52.35,52.5,6551375.0,3424.89
2018-09-25,52.6,52.8,48.7,52.2,51.9,9835874.0,5054.02
2018-09-24,56.2,56.2,52.25,52.4,52.7,8993018.0,4854.64
2018-09-21,57.3,57.7,51.7,56.4,56.0,12328647.0,6881.25
2018-09-19,56.4,57.5,55.85,57.1,57.0,7104951.0,4023.66
2018-09-18,58.35,58.7,55.3,56.4,56.25,9493445.0,5397.79
2018-09-17,58.4,58.75,57.7,58.05,58.15,4897530.0,2848.8
2018-09-14,58.45,58.85,57.75,58.5,58.5,5409890.0,3155.81
2018-09-12,57.6,58.05,56.2,57.65,57.7,9129059.0,5216.94
2018-09-11,57.9,58.8,57.2,57.35,57.4,7841536.0,4540.86
2018-09-10,59.9,59.9,57.5,57.75,57.85,8335443.0,4874.87
2018-09-07,59.35,60.35,58.75,59.6,59.85,7502512.0,4450.87
2018-09-06,59.5,60.15,58.35,59.0,59.15,8109629.0,4798.2
2018-09-05,59.85,60.2,58.2,59.5,59.3,9065337.0,5366.27
2018-09-04,61.4,61.9,59.3,59.65,59.75,18370588.0,11124.48
2018-09-03,63.25,63.3,61.0,61.1,61.15,13310652.0,8270.75
2018-08-31,61.1,63.2,60.5,63.05,62.7,13761305.0,8506.98
