Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,28.45,28.45,28.0,28.1,28.15,859793.0,242.03
2018-11-28,28.6,28.75,28.1,28.1,28.25,661185.0,188.03
2018-11-27,28.35,28.75,28.25,28.55,28.45,715957.0,204.12
2018-11-26,28.65,28.65,28.1,28.25,28.35,559369.0,158.39
2018-11-22,29.25,29.25,28.35,28.4,28.45,703889.0,202.38
2018-11-21,28.85,29.1,28.3,28.85,28.9,816108.0,234.57
2018-11-20,28.6,29.15,28.25,28.4,28.6,983748.0,282.13
2018-11-19,29.15,29.3,28.75,28.95,28.9,1014769.0,293.62
2018-11-16,28.5,29.15,28.25,28.75,28.8,1534551.0,439.94
2018-11-15,28.85,28.85,28.2,28.4,28.35,1256697.0,357.95
2018-11-14,28.9,29.3,28.35,28.4,28.55,1161967.0,335.21
2018-11-13,29.45,29.45,28.5,28.75,28.7,978555.0,282.61
2018-11-12,30.3,30.3,29.05,29.3,29.3,1177270.0,346.36
2018-11-09,30.0,30.7,29.6,30.05,30.1,1912892.0,578.62
2018-11-07,30.15,30.2,29.85,30.1,30.15,544663.0,163.89
2018-11-06,29.05,31.25,29.05,29.75,29.7,4333522.0,1308.54
2018-11-05,28.1,28.8,27.35,28.8,28.55,1475015.0,417.51
2018-11-02,29.7,29.75,28.4,28.75,28.65,2001826.0,585.17
2018-11-01,29.55,30.0,28.85,29.2,29.3,1949650.0,573.74
2018-10-31,28.45,29.8,27.9,29.6,29.25,5380328.0,1542.35
2018-10-30,26.6,28.35,26.45,27.75,27.8,3781560.0,1046.77
2018-10-29,25.6,26.8,25.25,26.5,26.55,2470981.0,646.48
2018-10-26,25.9,25.95,25.5,25.5,25.55,648606.0,166.48
2018-10-25,25.9,26.0,25.7,25.7,25.8,637139.0,164.57
2018-10-24,26.4,26.4,26.0,26.1,26.1,502977.0,131.61
2018-10-23,26.2,26.5,26.0,26.1,26.1,876052.0,228.89
2018-10-22,26.45,26.6,25.9,26.0,25.95,712848.0,186.52
2018-10-19,26.75,26.75,26.0,26.3,26.2,595445.0,156.38
2018-10-17,27.5,27.6,26.1,26.35,26.4,1049880.0,283.17
2018-10-16,26.8,27.1,26.5,26.8,27.0,1061296.0,285.95
2018-10-15,26.45,26.65,25.9,26.55,26.4,1117157.0,294.51
2018-10-12,25.85,26.65,25.85,26.0,26.15,1273216.0,334.88
2018-10-11,26.0,26.1,25.6,25.85,25.85,1082923.0,280.61
2018-10-10,25.95,26.85,25.85,26.6,26.6,1461848.0,386.52
2018-10-09,26.75,26.8,25.7,25.7,25.95,1640553.0,429.84
2018-10-08,26.9,27.1,26.15,26.5,26.6,1554819.0,415.86
2018-10-05,27.6,27.8,26.6,26.7,26.85,1635907.0,444.59
2018-10-04,26.9,27.65,26.85,27.05,27.35,1469959.0,401.96
2018-10-03,27.45,27.95,27.05,27.4,27.45,2378257.0,655.59
2018-10-01,26.75,27.85,26.75,27.4,27.5,2109686.0,578.31
2018-09-28,27.65,28.0,27.0,27.85,27.4,3469629.0,950.83
2018-09-27,30.0,30.2,27.25,28.1,27.8,6224918.0,1785.91
2018-09-26,30.6,30.9,29.05,30.3,30.25,7095184.0,2115.6
2018-09-25,28.75,31.15,28.1,30.6,30.6,6926786.0,2048.23
2018-09-24,29.55,29.7,27.6,29.0,28.9,5974538.0,1700.13
2018-09-21,31.25,31.45,26.7,29.5,29.45,7885525.0,2341.0
2018-09-19,31.15,31.45,30.65,31.0,30.95,3570507.0,1107.08
2018-09-18,33.5,34.0,30.1,31.1,30.9,9451686.0,3005.99
2018-09-17,31.35,33.05,31.0,32.3,32.55,4998214.0,1611.69
2018-09-14,31.0,31.9,31.0,31.65,31.7,3474404.0,1094.46
2018-09-12,31.1,31.1,30.0,30.8,30.85,5163517.0,1581.24
2018-09-11,30.9,31.95,30.7,31.05,30.9,6289166.0,1972.18
2018-09-10,31.0,31.3,30.65,30.85,30.9,2945814.0,912.21
2018-09-07,30.65,31.35,30.4,31.2,31.15,3802719.0,1174.15
2018-09-06,31.25,31.6,30.3,30.6,30.65,6398464.0,1971.64
2018-09-05,32.55,32.65,30.4,31.1,31.15,7697768.0,2398.92
2018-09-04,34.1,34.9,32.25,32.55,32.5,4870123.0,1618.04
2018-09-03,34.0,35.7,33.6,34.35,34.5,6250572.0,2177.6
2018-08-31,33.4,34.15,32.8,33.95,33.9,4149745.0,1390.01
2018-08-30,32.8,33.9,32.45,33.6,33.5,5371626.0,1776.21
2018-08-29,32.1,32.5,31.95,32.45,32.3,2160290.0,697.14
2018-08-28,32.8,33.0,31.95,32.15,32.1,2995665.0,967.06
2018-08-27,32.7,33.05,32.65,32.75,32.8,2366647.0,778.23
2018-08-24,32.5,33.2,32.4,32.6,32.55,2647391.0,866.48
2018-08-23,33.0,33.15,32.4,32.9,32.95,2541340.0,833.53
2018-08-21,32.9,33.15,32.5,32.95,32.95,2833245.0,930.4
2018-08-20,32.4,32.95,32.15,32.8,32.8,3532538.0,1147.42
2018-08-17,32.0,32.35,31.7,32.35,32.25,2650654.0,849.34
2018-08-16,32.15,32.55,31.1,31.7,31.55,5032102.0,1604.95
2018-08-14,32.7,33.1,32.1,32.2,32.2,5172278.0,1678.18
2018-08-13,33.0,33.45,32.1,32.6,32.6,7434709.0,2441.52
2018-08-10,34.65,35.75,33.7,33.8,34.05,6079710.0,2084.08
2018-08-09,33.85,35.1,33.75,34.5,34.55,4329960.0,1496.15
2018-08-08,34.25,34.6,33.4,33.65,33.6,3213436.0,1090.54
2018-08-07,36.1,36.2,33.7,34.05,34.0,8677162.0,2998.7
2018-08-06,35.95,36.6,35.5,36.05,36.0,4299442.0,1550.12
2018-08-03,35.45,35.95,35.1,35.55,35.65,3074099.0,1092.23
2018-08-02,34.95,35.7,34.5,35.1,35.1,3229072.0,1132.82
2018-08-01,35.4,35.65,34.7,35.0,35.3,4232615.0,1488.05
2018-07-31,35.7,36.75,34.7,35.1,35.15,7330369.0,2605.02
2018-07-30,33.3,36.05,33.3,35.65,35.65,10899650.0,3797.0
2018-07-27,33.0,34.1,32.6,33.2,33.3,8033390.0,2682.96
2018-07-26,32.0,33.0,31.75,32.85,32.7,8719016.0,2836.16
2018-07-25,32.3,32.8,31.5,31.75,31.95,6147918.0,1975.03
2018-07-24,31.3,32.15,31.0,32.15,32.0,6057134.0,1916.94
2018-07-23,30.5,31.5,29.9,31.3,31.3,6547331.0,2013.15
2018-07-20,30.15,31.0,29.8,30.6,30.8,6163514.0,1880.38
2018-07-19,30.6,31.05,29.6,30.1,30.15,6045485.0,1834.83
2018-07-18,32.35,32.6,29.95,30.55,30.6,13584897.0,4223.83
2018-07-17,29.6,31.3,29.25,30.85,30.95,6119185.0,1863.09
2018-07-16,30.65,30.75,29.45,29.55,29.55,3565877.0,1065.45
2018-07-13,31.8,31.8,30.5,30.65,30.65,5443442.0,1674.41
2018-07-12,32.0,32.45,31.15,31.45,31.55,4660641.0,1483.39
2018-07-11,33.6,33.65,31.65,31.9,31.85,8329031.0,2705.45
