Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,469.95,489.2,466.0,488.0,487.0,884658.0,4248.12
2018-11-28,465.0,471.95,456.4,465.9,466.55,484897.0,2257.33
2018-11-27,451.95,473.5,444.0,465.0,464.95,796421.0,3677.47
2018-11-26,455.8,459.45,442.05,452.65,453.55,402970.0,1813.51
2018-11-22,468.15,471.7,452.0,452.8,454.05,306564.0,1408.98
2018-11-21,463.8,473.0,460.0,468.5,466.85,284630.0,1325.7
2018-11-20,475.25,475.25,460.0,460.8,462.15,316673.0,1474.53
2018-11-19,479.4,485.7,472.3,477.0,478.2,482371.0,2311.14
2018-11-16,465.0,489.9,462.0,474.7,476.2,1475264.0,7058.95
2018-11-15,430.0,463.95,430.0,463.5,459.75,1065162.0,4785.33
2018-11-14,432.85,437.7,425.65,434.0,433.6,303657.0,1313.63
2018-11-13,424.0,435.0,418.1,432.15,432.4,346706.0,1478.51
2018-11-12,432.0,438.7,423.1,424.95,425.9,243969.0,1051.74
2018-11-09,440.0,440.7,426.4,431.55,431.5,314171.0,1355.81
2018-11-07,444.7,444.7,437.0,439.75,439.35,77012.0,338.45
2018-11-06,444.9,445.7,435.0,437.3,437.55,317131.0,1392.4
2018-11-05,429.75,444.0,426.0,440.5,435.95,1038453.0,4521.47
2018-11-02,416.0,449.0,415.5,428.9,426.85,1873856.0,8085.5
2018-11-01,395.0,417.95,391.0,413.0,411.3,1254442.0,5118.3
2018-10-31,389.95,395.6,386.8,390.5,390.25,500973.0,1955.14
2018-10-30,399.8,399.8,383.0,383.5,384.6,1355884.0,5283.37
2018-10-29,385.55,404.0,381.05,398.45,398.7,1440974.0,5715.58
2018-10-26,375.05,389.25,368.1,384.55,380.45,1687866.0,6375.66
2018-10-25,386.2,389.0,377.2,378.9,380.05,2489963.0,9495.05
2018-10-24,406.0,408.9,385.05,391.95,392.8,1817323.0,7130.3
2018-10-23,403.0,407.75,397.0,399.4,399.8,1169804.0,4685.17
2018-10-22,425.0,425.0,403.0,411.0,408.95,787706.0,3248.79
2018-10-19,450.6,451.4,405.0,415.9,416.3,2075324.0,8761.53
