Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11/29/2018,363,366.4,360.2,362.2,362.2,38692771,140404.32
11/28/2018,356.95,361.55,353.25,357.55,359,18163000,64703.49
11/27/2018,355.75,356.1,351.6,353.35,354.65,17933339,63477.4
11/26/2018,354.75,357.85,350.7,356,356.35,20673027,73331.5
11/22/2018,357.65,358.5,351,351.9,352.05,12547369,44487.17
11/21/2018,356.35,360.3,353.05,356.8,356.75,29323882,104608.1
11/20/2018,362,365.45,354.6,357.15,357.9,19591217,70348.77
11/19/2018,368.3,370.7,360.75,363.5,362.4,16002154,58195.31
11/16/2018,370.1,375.3,365.55,366.95,367.55,29972926,110955.08
11/15/2018,366.1,374.9,362.1,369.75,370,21967798,81149.27
11/14/2018,365,369.9,361.3,366.3,366.6,31774158,116236.77
11/13/2018,347.8,361.95,347.8,361.4,360.9,17684864,62941.16
11/12/2018,356,358.2,351.5,352.75,352.35,10642857,37721.26
11/9/2018,356.9,358.1,352.4,357.1,356.85,15130936,53779.75
11/7/2018,356.75,357,354.55,355.9,355.9,2074764,7381.96
11/6/2018,348.7,358.3,347.65,353.1,353.1,21349153,75325.7
11/5/2018,351,351.85,348,349,349.65,22873951,80054.73
11/2/2018,354,357.8,351.7,354.6,354.45,26714413,94888.61
11/1/2018,357,358.45,351.1,353.85,353.7,22157128,78542.79
10/31/2018,345.5,356.55,342.3,353.4,355,31233009,109111.64
10/30/2018,347.45,353.85,342.9,346,345.7,34460428,119946.71
10/29/2018,329,352.95,328.3,351.45,349.4,80069836,273401.7
10/26/2018,319.8,323.4,313,314.3,315.65,22952163,73087.75
10/25/2018,318.5,322.05,311.8,319.45,319.95,26920180,85536.38
10/24/2018,328.75,330,316.25,321.95,322,33104174,107278.78
10/23/2018,323,328.6,318.35,324.9,322.85,21509920,69578.97
10/22/2018,320.2,329.85,316.1,328.2,327.1,33593953,109256.33
10/19/2018,312.85,321.5,310.2,315.95,315.45,18322589,58014.28
10/17/2018,325.1,328.15,311.65,316,314.8,20203287,65032.71
10/16/2018,313.75,322.95,313.75,320.25,320.65,18042549,57749.1
10/15/2018,316.9,317.9,309.55,312.95,313.35,23756416,74423.11
10/12/2018,313.85,324.25,313.6,318.5,319.4,25930022,83002.53
10/11/2018,310,315.45,304,312,311.7,21691068,67628.71
10/10/2018,307.1,322.95,304.5,319,319.85,23972064,75831.82
10/9/2018,311.45,311.9,303,304.95,306.25,14852835,45551.61
10/8/2018,307.3,314.05,298.6,311.55,310.85,20488368,63025.82
10/5/2018,314.65,321.85,299.35,304.5,307.3,36131946,113325.68
10/4/2018,299,321.25,294.8,316,316.5,56268976,174990.84
10/3/2018,311.1,314.5,302.45,304.5,303.7,19105555,58915.05
10/1/2018,306.3,315.05,300.55,314.2,314,21104376,65070.69
9/28/2018,309.1,311.6,301.8,306,305.55,26289107,80430.36
9/27/2018,315.65,316,305.3,308.3,306.65,24888615,76647.32
9/26/2018,315,315.3,305.1,312.9,313.1,23224979,72183.7
9/25/2018,307,313.5,300.05,310.95,311.1,30472132,93241.88
9/24/2018,316.8,316.8,305.55,308.4,308.75,24382310,76021.49
9/21/2018,323.45,333.7,308.35,318.2,317.1,34169460,110650.15
9/19/2018,320,324.7,317,320.45,320.95,15942065,51160.12
9/18/2018,324.25,328.05,317.7,319.15,318.85,14825218,47785.35
9/17/2018,327.3,327.5,321.35,326.15,325.7,7227361,23466.88
9/14/2018,327.2,332,324.15,328.9,328.35,10736693,35091.41
9/12/2018,327,327.05,318.5,323,322.9,15263406,49190.12
9/11/2018,333.7,336.7,325.1,326.35,326.55,13005562,43058.92
9/10/2018,331.8,335.75,330.4,333.3,332.9,16673909,55556.75
9/7/2018,327.45,336.4,322.45,333.3,335.1,16435004,54455.5
9/6/2018,330,331.25,325.5,327.95,328.65,11322771,37243.25
9/5/2018,327,331.35,324.6,329,329.65,14548867,47703.15
9/4/2018,334.8,336.45,327.25,329,328.5,15470215,51186.89
9/3/2018,343.6,344,332.55,335,334.15,12859450,43395
8/31/2018,343,346.8,338.5,341.6,342.6,19809916,67787.04
8/30/2018,339.2,345.45,337.7,344.2,344.35,22349447,76478.26
8/29/2018,336.35,342.65,335.8,339.7,340.65,18868248,64260.52
8/28/2018,342,343.5,336.3,338.25,338.9,16427306,55679.29
8/27/2018,331,342.3,330.95,339.8,339.9,28083933,95149.83
8/24/2018,334.4,335.5,327.3,329.85,330.15,17805968,58895.53
8/23/2018,336.55,338.7,334.75,336,337.2,18867868,63563.7
8/21/2018,338.3,341.85,334.05,338.15,338.85,16009673,54061.71
8/20/2018,340,342.45,336.7,337.9,338.45,13032778,44248.97
8/17/2018,336.8,342.2,335.85,340,340,24090696,81841.64
8/16/2018,329.55,339.2,328.75,335.85,334.3,37463597,125737.75
8/14/2018,324.7,333.5,324.7,332.4,332.45,15314006,50458.5
8/13/2018,324,327.45,322,325.9,324.9,15332907,49805.33
8/10/2018,334.05,340.3,325.35,327.75,328.6,36321097,120334.12
8/9/2018,320.25,345.85,320.25,332,333,76423347,255810.92
8/8/2018,313,320,308.25,318.2,318.7,17916047,56379.83
8/7/2018,313.95,318.15,310.4,313.5,313.15,20751145,65288.28
8/6/2018,306.95,318,306.8,314.5,315.1,25849864,81319.99
8/3/2018,300,306.75,297.55,306,305,14478902,44031.26
8/2/2018,295,300.75,294.1,298.35,298.55,14089168,41987.68
8/1/2018,302.6,305.65,296.8,297,299.3,15581508,47019.32
7/31/2018,304.3,308.5,302.2,303.6,304.25,20824059,63436.1
7/30/2018,300,308.45,294.25,307.5,307.35,56119080,169829.5
7/27/2018,284.9,295.15,282.2,292.25,293.2,30926969,89932.14
7/26/2018,275,286.5,273.25,284.3,285.65,36630780,103908.73
7/25/2018,273,276.6,272.25,274,274.65,17947377,49173.65
7/24/2018,273.65,277.9,273.35,274,274.35,12012225,33030.34
7/23/2018,265.35,276.3,265.35,275,275.55,16917863,46035.94
7/20/2018,261.8,267.7,261.8,265.8,265.8,13794388,36668.72
7/19/2018,263.95,264.35,259.4,261.3,261.2,15145144,39633.27
7/18/2018,266,267.35,261,264,262.7,22908592,60382.12
7/17/2018,260.25,267.5,260,266,266.45,15128995,39976.29
7/16/2018,265.3,266.6,256.5,258.2,259.25,29794402,77340.72
7/13/2018,273,273.3,266.05,267.85,267.75,19159840,51395
7/12/2018,270.4,273.7,269.05,271.6,272.3,15837704,43034.33
7/11/2018,274.55,274.9,267.5,268.7,268.75,12717543,34431.69
7/10/2018,272,275.95,271.9,273.2,273.4,14450561,39610.78
7/9/2018,273.9,274.7,270,271.05,271.2,18374471,50082.14
7/6/2018,271.1,271.95,267.05,270.15,270.05,26025797,70220.25
7/5/2018,273,275.5,270.75,271.95,271.55,7505990,20498.05
7/4/2018,274.2,274.85,271,273.25,273.25,8233522,22453.65
7/3/2018,275.9,276.8,272.2,273.25,272.9,14020388,38487.16
7/2/2018,274,279.9,271,277.3,277.4,69733139,191401
6/29/2018,272,276,269.6,274.7,275.4,20930477,57312.08
6/28/2018,278,278.4,269.8,270.75,271.4,34197884,93270.12
6/27/2018,287.9,287.9,274,279.65,279.05,25318055,70650.94
6/26/2018,287.55,289.1,284.7,288.3,288.1,11614686,33282.66
6/25/2018,299.8,300.5,288.8,289.7,289.7,15461874,45373.39
6/22/2018,298.2,302.7,295.65,301.45,300.65,17490606,52257.62
6/21/2018,294.8,300.35,294.55,297.95,297.95,30192796,89999.54
6/20/2018,292.6,294.6,291,293.6,293.2,20364143,59674.66
6/19/2018,295.5,295.5,288.35,292.3,292.8,27176748,79196.5
6/18/2018,284,294.2,283.4,294,293,27792317,80810.27
6/15/2018,287.2,288.5,280,282,282.5,47186222,133768.15
6/14/2018,290.85,290.85,284.1,285.4,284.75,11400592,32611.73
6/13/2018,289,292.9,286.4,290.75,290.75,10927770,31725.23
6/12/2018,288.55,289.15,285.25,287.75,287.4,14257648,40921.14
6/11/2018,285.4,290.35,283.2,286.5,286.4,16876061,48514.59
6/8/2018,290.1,290.9,285.5,288.5,288.25,11340014,32571.99
6/7/2018,287.5,293.05,287.15,291.05,290.9,20297969,58960.13
6/6/2018,285.7,286.9,281.1,284.1,283.9,16873633,47853.79
6/5/2018,288,288,283.1,284.7,284.1,12376050,35257.47
6/4/2018,293.3,293.3,285.55,287,286.75,17188567,49643.77
6/1/2018,295,299.95,286.85,288.8,289.3,29675949,86895.95
5/31/2018,285,288.95,279.3,287.15,285.8,23698686,67144.46
5/30/2018,285.9,288.15,282.75,285,284.9,25142319,71755.24
5/29/2018,298.75,298.75,288.3,289.95,289.9,12969969,37907.66
5/28/2018,293.75,302.3,293.35,299.3,299.25,19063427,57085.12
5/25/2018,298.4,300.95,294.6,296.2,295.65,13541580,40235.19
5/24/2018,293.7,299,291.2,298.15,297.7,11489424,33952.28
5/23/2018,288.85,298.4,288.8,291,292.05,15887229,46743.62
5/22/2018,289.5,293.85,286.85,292,290.3,11284988,32800.83
5/21/2018,289.5,293,287.75,289.75,289.3,23155638,67175.9
5/18/2018,294.15,295.3,284.6,287.8,286.1,17469524,50323.09
5/17/2018,299,299.95,294.05,294.95,296,10668400,31745.2
5/16/2018,303.9,304.9,295.3,296.95,297.25,25515791,76393.62
5/15/2018,310.7,317.5,305.05,308,308.25,16400700,51079.55
5/14/2018,310,311,305.15,309.4,310.1,10425585,32140.39
5/11/2018,307.95,311.85,307.55,310.55,310.95,16671145,51669.18
5/10/2018,308.45,312.9,305.7,307,306.85,16239386,50124.96
5/9/2018,305,309.8,304.25,306.75,306.8,20140490,61877.7
5/8/2018,302,314.5,300,308.5,309.3,87176185,269291.85
5/7/2018,284,293,282.85,293,289.8,19673100,56583.36
5/4/2018,280.45,285.6,278.35,282.8,282.85,11861951,33567.88
5/3/2018,277.3,283.65,277.3,281.85,281.9,14724116,41449.25
5/2/2018,283.65,283.75,275.55,277.15,276.9,14211445,39542.49
4/30/2018,288.95,291,282.3,284.7,284.2,9737559,27820.99
4/27/2018,277.4,291.7,276,287.8,287.9,16488361,47497.5
4/26/2018,279.8,280.4,275.35,278.7,278.85,14112673,39225.16
4/25/2018,284.05,285.65,276.85,279.5,278.9,7961352,22384.6
4/24/2018,279.35,286.6,279.35,284.5,284.1,15412234,43834.58
4/23/2018,280,282.8,275.25,279.15,279.4,11620499,32430.29
4/20/2018,289.25,290.15,279.7,282.5,282.15,19745690,56161.94
4/19/2018,291,291,287.3,290.65,289.6,17282341,49940.31
4/18/2018,293.7,294.9,289,290.1,290.05,20755245,60566.57
4/17/2018,287.6,293.25,286.8,291.9,291.75,15406113,44764.05
4/16/2018,285,288.95,284.1,287.5,287.6,16874313,48477.45
4/13/2018,288,291.1,285.8,288.1,288.25,17497198,50514.33
4/12/2018,285.3,289.9,283.55,287,286.75,22954325,65965.51
4/11/2018,287.75,287.9,282.35,285.3,284.55,16811454,47883.32
4/10/2018,279.45,294.45,279.05,288.7,288.8,44741783,129433.54
4/9/2018,277.75,283.45,274.35,281,280.85,31712527,88526.48
4/6/2018,278.4,282.95,277,279.95,280.65,31577015,88354.63
4/5/2018,267.8,280,267.7,278.4,278.65,26759108,73679.38
4/4/2018,267.25,273.3,265.5,268.1,268.65,33486876,90054.18
4/3/2018,261.4,271.5,261.4,270.2,270.05,40773239,108393.56
4/2/2018,273,273.85,258.8,262.4,261.85,73359584,192862.73
3/28/2018,283,283.3,277.1,278.9,278.35,27172599,75794.56
3/27/2018,284.5,287.3,281.4,283.3,283.9,22377328,63687.3
3/26/2018,276.1,283.15,275.95,281.35,281.65,24618534,68652.45
3/23/2018,277.1,277.85,273.55,274.3,275.55,31922568,88030.31
3/22/2018,289.5,289.65,280.9,283.1,283.25,24593489,69986.53
3/21/2018,295,295.05,287.35,289.6,289.2,13618228,39680.65
3/20/2018,293,297.2,290.25,292.3,292,10880002,31933.07
3/19/2018,298.1,300,291.25,294.45,294.55,13601784,40168.06
3/16/2018,301.25,301.85,297.4,299.25,298.1,28835112,86172.12
3/15/2018,305.75,305.75,300.4,300.95,301.45,13282019,40183.21
3/14/2018,303.15,307.45,297.8,305.95,306.05,12964285,39177.73
3/13/2018,300.1,307,299.6,304.85,304.35,15966647,48454.65
3/12/2018,295.6,301.9,293.75,301.5,300.65,12163952,36115.36
3/9/2018,299,299.5,290.7,293.55,292.7,12489587,36858.97
3/8/2018,290.25,298,289.25,297.9,296.95,21413552,62683.19
3/7/2018,293.3,293.8,285.35,287.8,286.7,31472773,90629.23
3/6/2018,307.4,307.7,294.2,294.75,295.05,18951451,56878.68
3/5/2018,304.45,306.5,299.3,303.6,303.35,14456193,43718.02
3/1/2018,312.65,314,304.25,304.4,304.95,18986889,58452.5
2/28/2018,315.15,317,311.1,314,313.25,17481687,54755.09
2/27/2018,327,327.05,319.65,322.9,322.15,9623651,31014.28
2/26/2018,325,327.8,323.15,326.15,327.05,7133735,23234.91
2/23/2018,319.05,324.05,318.35,323.85,322.75,7949765,25556.9
2/22/2018,317,319.3,313.95,319,318.35,25530698,81121.81
2/21/2018,319,320.7,315.7,318.75,319.2,9974873,31754.14
2/20/2018,320.5,324.2,316.3,316.9,317.25,16030558,51152.46
2/19/2018,329.5,329.6,315.2,320.2,319.75,19044107,60955.38
2/16/2018,330.35,334,318.8,321.8,321.05,17585994,57103.88
2/15/2018,322.15,331.8,322.15,328.75,328.65,23779772,77958.32
2/14/2018,327,327,316.55,317.65,318.95,15189066,48785.47
2/12/2018,328.85,329.2,323.25,325.95,326.25,8356351,27289.28
2/9/2018,325,328.65,322.65,327.5,326.75,9493398,30902.54
2/8/2018,332.55,338.4,329.5,333.55,333.85,10294899,34445.95
2/7/2018,335.35,336.4,329.9,332,332.55,11819190,39366.1
2/6/2018,315.25,337.95,313,332,330.7,18491736,60233
