Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,222.5,226.0,221.05,225.0,224.3,1197696.0,2680.13
2018-11-28,226.8,229.0,220.45,221.45,221.55,1713177.0,3856.54
2018-11-27,224.0,228.4,223.15,226.75,226.6,1190102.0,2693.41
2018-11-26,228.0,228.8,221.1,222.15,223.85,1330282.0,2982.4
2018-11-22,231.2,234.0,225.55,226.3,227.2,1261794.0,2895.88
2018-11-21,226.85,234.8,226.5,231.5,231.45,1805663.0,4185.88
2018-11-20,228.05,234.95,225.4,227.0,228.05,2644085.0,6098.75
2018-11-19,232.9,233.35,226.0,229.1,229.3,1231336.0,2819.72
2018-11-16,226.25,232.5,223.05,229.5,229.15,2204361.0,5029.59
2018-11-15,225.6,227.95,221.0,225.5,225.9,1820757.0,4095.64
2018-11-14,224.0,231.6,223.0,225.6,226.15,2898198.0,6591.33
2018-11-13,220.4,226.0,220.0,223.0,222.9,2841206.0,6335.43
2018-11-12,229.0,232.35,220.5,221.9,221.95,6313840.0,14116.4
2018-11-09,261.0,265.7,226.6,227.0,229.45,13057900.0,31482.03
2018-11-07,261.0,262.8,258.5,262.6,261.6,306096.0,799.15
2018-11-06,257.3,269.7,256.55,258.15,257.95,2479943.0,6509.79
2018-11-05,246.6,260.0,244.6,259.2,254.45,1346396.0,3391.97
2018-11-02,252.6,260.8,244.25,248.5,248.45,1774228.0,4503.76
2018-11-01,252.7,256.3,248.1,249.5,250.65,1845822.0,4667.85
2018-10-31,257.0,258.75,245.65,251.0,252.7,2677138.0,6747.29
2018-10-30,237.0,264.4,237.0,254.05,256.65,4623688.0,11908.69
2018-10-29,225.0,246.4,220.4,241.0,241.4,2548120.0,6043.55
2018-10-26,218.4,224.8,214.0,221.0,222.3,1346957.0,2964.36
2018-10-25,214.2,222.15,212.6,218.25,218.35,1398789.0,3031.1
2018-10-24,218.65,219.35,210.4,217.0,216.5,1420819.0,3050.61
2018-10-23,214.95,219.75,211.4,213.85,213.85,1288442.0,2776.56
2018-10-22,225.15,229.8,217.1,218.3,218.45,1801497.0,3985.74
2018-10-19,222.3,229.2,220.45,222.65,222.95,1627489.0,3660.7
2018-10-17,247.0,247.55,224.0,225.25,226.05,1792394.0,4208.18
2018-10-16,237.75,247.25,235.0,242.55,243.55,1275725.0,3086.27
2018-10-15,237.0,241.25,233.2,237.65,237.5,963340.0,2286.95
2018-10-12,233.75,240.3,232.15,237.0,236.85,1111021.0,2627.28
2018-10-11,232.0,239.65,226.75,231.1,231.1,1421884.0,3316.45
2018-10-10,226.0,244.8,226.0,241.6,242.15,1829188.0,4349.52
2018-10-09,230.4,234.0,223.1,225.4,225.7,1509050.0,3444.25
2018-10-08,225.0,232.15,220.5,230.4,230.4,2206856.0,5029.43
2018-10-05,247.0,250.6,226.3,226.45,229.45,2694318.0,6408.06
2018-10-04,246.8,253.8,242.0,244.0,247.75,1505354.0,3740.91
2018-10-03,244.85,262.0,240.55,251.85,252.05,2358346.0,5957.13
2018-10-01,225.05,247.5,219.55,246.0,246.25,2658184.0,6245.96
2018-09-28,228.0,237.0,220.95,226.9,227.4,2699222.0,6210.29
2018-09-27,241.4,242.8,225.9,226.55,226.65,1668328.0,3893.26
2018-09-26,240.2,243.65,234.6,238.1,239.2,2274244.0,5436.91
2018-09-25,252.0,254.4,219.25,236.9,236.3,5652006.0,13617.4
2018-09-24,274.0,274.8,252.9,254.55,256.2,1467467.0,3861.87
2018-09-21,293.0,293.15,246.0,272.3,272.7,2913381.0,8062.33
2018-09-19,292.0,296.3,284.4,289.2,289.4,4494839.0,13034.83
2018-09-18,313.0,313.95,288.25,290.15,291.55,6636783.0,19828.44
2018-09-17,320.0,323.1,315.1,318.5,319.25,1167670.0,3723.09
2018-09-14,324.4,327.0,319.05,321.5,322.3,682772.0,2206.15
2018-09-12,319.0,323.3,314.1,321.7,321.45,1191452.0,3788.2
2018-09-11,319.6,326.5,317.6,318.25,319.05,1311754.0,4221.82
2018-09-10,321.0,327.7,318.35,319.15,320.2,1212492.0,3909.91
2018-09-07,315.95,323.9,312.75,323.75,323.0,1399076.0,4451.71
2018-09-06,312.25,319.5,307.4,315.3,316.0,1608251.0,5046.47
2018-09-05,313.0,315.0,302.3,309.2,309.6,1444621.0,4445.12
2018-09-04,328.7,329.65,312.85,314.05,314.6,1088538.0,3488.52
2018-09-03,333.9,339.15,327.05,327.6,328.75,1202419.0,4026.85
2018-08-31,334.9,334.9,327.6,333.0,332.45,946068.0,3129.45
2018-08-30,327.8,334.65,322.75,333.9,333.85,1288821.0,4250.87
2018-08-29,325.4,331.6,324.05,326.55,327.4,1045446.0,3430.69
2018-08-28,333.0,333.0,322.25,324.9,325.55,721999.0,2355.22
2018-08-27,330.0,334.05,327.0,329.5,330.0,1315670.0,4349.42
2018-08-24,335.0,337.55,326.2,326.2,327.85,1291785.0,4277.23
2018-08-23,341.9,342.5,332.6,334.85,334.1,1087781.0,3645.37
2018-08-21,345.95,346.95,340.0,340.0,341.25,844829.0,2892.74
2018-08-20,345.0,347.7,341.4,345.05,345.65,867354.0,2985.9
2018-08-17,339.35,344.0,336.75,341.15,341.3,1491817.0,5078.71
2018-08-16,338.55,345.8,333.75,335.9,336.85,1267517.0,4311.22
2018-08-14,337.95,345.55,336.75,341.5,341.95,1061473.0,3625.92
2018-08-13,340.0,342.95,332.25,338.9,335.95,1928534.0,6539.35
2018-08-10,358.25,359.2,343.35,344.9,346.1,1794008.0,6293.36
2018-08-09,370.5,377.65,356.7,358.0,358.25,6705274.0,24498.49
2018-08-08,372.9,373.55,351.5,354.9,355.05,3204942.0,11665.62
2018-08-07,379.0,379.7,371.5,372.95,374.2,1959876.0,7362.91
2018-08-06,365.0,379.0,364.1,376.35,376.85,2329278.0,8690.6
2018-08-03,357.0,366.0,356.95,365.0,364.65,1724190.0,6229.28
2018-08-02,350.9,359.0,345.0,356.2,355.85,1306347.0,4609.92
2018-08-01,357.5,362.25,349.25,349.6,353.3,1617540.0,5722.43
2018-07-31,361.5,366.25,351.0,356.8,357.7,1412926.0,5073.79
2018-07-30,356.0,370.0,356.0,361.45,362.3,2250283.0,8193.99
2018-07-27,354.0,356.45,347.7,354.0,353.35,1297422.0,4578.13
2018-07-26,334.9,356.0,333.5,354.25,354.25,2274929.0,7898.28
2018-07-25,324.0,334.4,321.8,330.2,331.9,1120840.0,3696.95
2018-07-24,319.0,326.7,317.0,324.7,325.05,1251625.0,4040.52
2018-07-23,310.0,322.5,305.05,319.0,319.85,1630450.0,5114.85
2018-07-20,328.05,329.0,306.45,309.8,310.25,2303922.0,7273.13
2018-07-19,325.0,333.85,319.4,327.0,327.35,1080403.0,3538.34
2018-07-18,338.0,341.5,326.75,327.05,328.45,1090630.0,3617.66
2018-07-17,322.3,339.6,318.3,337.05,338.35,1296286.0,4274.39
2018-07-16,336.25,336.25,317.9,320.45,322.85,602056.0,1965.29
2018-07-13,347.0,349.2,333.4,333.85,334.75,615699.0,2085.84
2018-07-12,350.0,355.3,344.45,345.7,347.6,602944.0,2109.11
2018-07-11,355.0,358.5,345.25,346.7,347.65,771451.0,2708.83
2018-07-10,350.0,358.9,348.0,356.5,356.95,968398.0,3444.72
2018-07-09,344.9,351.3,343.05,347.5,348.35,594603.0,2068.15
2018-07-06,337.25,349.25,336.9,340.0,342.55,1482058.0,5094.65
2018-07-05,337.25,341.5,335.5,338.0,337.55,606237.0,2050.75
2018-07-04,339.0,342.2,334.45,335.4,337.25,847620.0,2858.3
2018-07-03,342.0,344.05,337.45,339.0,339.4,651334.0,2218.05
2018-07-02,346.9,350.4,336.95,341.25,341.15,1148417.0,3942.88
2018-06-29,344.0,348.6,338.95,342.7,343.7,1681249.0,5771.24
2018-06-28,346.0,350.7,332.0,346.85,347.05,2495943.0,8528.87
2018-06-27,350.5,353.0,342.1,347.1,347.25,1098608.0,3798.7
2018-06-26,346.0,352.4,342.0,349.7,349.65,903325.0,3137.49
2018-06-25,344.85,349.35,336.9,348.1,346.9,1439883.0,4950.0
2018-06-22,343.0,347.2,337.8,344.6,344.55,938870.0,3222.81
2018-06-21,350.8,352.0,340.45,341.35,343.35,1364853.0,4699.48
2018-06-20,355.0,359.6,353.15,353.9,354.75,917221.0,3259.88
2018-06-19,355.3,361.7,350.5,354.0,354.7,1227026.0,4372.14
2018-06-18,348.0,358.9,348.0,355.7,356.0,982359.0,3491.51
2018-06-15,358.1,362.5,350.15,352.7,351.2,1156857.0,4094.4
2018-06-14,364.7,366.75,356.35,358.1,359.3,1095971.0,3951.21
2018-06-13,362.9,375.15,362.25,364.7,363.95,1964726.0,7245.83
2018-06-12,365.25,368.35,360.15,362.0,361.85,1081848.0,3938.64
2018-06-11,368.3,372.55,362.0,362.6,366.05,1976299.0,7282.69
2018-06-08,349.5,371.0,347.15,368.0,367.6,2460407.0,8848.3
2018-06-07,348.0,354.9,344.4,350.3,351.65,1856266.0,6497.71
