Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11/29/2018,70.1,70.35,68.85,69.75,69.65,17242452,12008.8
11/28/2018,72.95,73,69.1,69.45,69.6,21486398,15262.43
11/27/2018,71.25,73.15,70.6,72.45,72.45,18202285,13061.23
11/26/2018,72.1,72.2,69.85,71.35,71.25,14534558,10316.67
11/22/2018,73,73.4,71.4,71.5,71.7,12316028,8922.19
11/21/2018,71.35,73,71,72.9,72.7,15213307,10978.3
11/20/2018,72.3,74.3,70.65,70.95,71.3,22772511,16600.82
11/19/2018,73.9,74.05,72.5,73.45,73.3,17064185,12519.44
11/16/2018,71.4,74.15,70.6,73.25,73.2,29393571,21269.21
11/15/2018,70.75,71.6,69.75,71.05,71.15,13633606,9669.86
11/14/2018,70.5,72.05,70.1,70.65,70.75,19262384,13686.15
11/13/2018,68.5,70.3,68.45,69.95,70,16257056,11309
11/12/2018,72,72.1,69.7,70.35,70.5,15610896,11018.1
11/9/2018,71,72.4,70.2,71.6,71.65,16410330,11757.22
11/7/2018,71,71.2,70.6,71,70.95,2459502,1744.25
11/6/2018,71.2,71.55,69.9,70.3,70.6,18682517,13221.57
11/5/2018,68.7,70.95,67.4,70.8,70.4,33569269,23227.73
11/2/2018,74.95,78.7,68.05,68.95,69.05,91979581,66991.95
11/1/2018,74.4,75,73.2,74.3,74.3,21269555,15766.14
10/31/2018,73.8,74.25,71.7,73.6,73.65,28632204,20935.59
10/30/2018,71,75.25,70.75,72.85,72.55,43626784,31919.78
10/29/2018,66.85,71.8,65.6,70.75,70.9,36931154,25699.57
10/26/2018,66,67.25,65.25,66.3,66.15,20915568,13860.48
10/25/2018,65.2,66.7,65,65.75,65.65,23250113,15292.21
10/24/2018,65.8,66.35,64.6,66.3,65.8,17199693,11242.29
10/23/2018,65.45,66.25,63.85,65.15,64.75,16070344,10440.79
10/22/2018,66.9,67.45,65.4,65.8,65.7,16020570,10639.35
10/19/2018,66.2,67.4,65.25,66.15,66,18158920,12055.19
10/17/2018,71,71.15,66.1,66.3,66.5,24801387,16989.75
10/16/2018,68.2,70.35,67.85,69.9,69.95,21972857,15202.91
10/15/2018,67,67.95,65.35,67.55,67.55,21390663,14354.87
10/12/2018,65.1,67.65,65.05,66.5,66.5,22188888,14779.47
10/11/2018,64,66,63.1,64.35,64.3,27655306,17818.26
10/10/2018,62.8,66.95,62.3,66.5,66.3,30162010,19551.34
10/9/2018,63.45,63.9,61.5,62.8,62.65,24773210,15524.7
10/8/2018,64,64.6,61.1,62.7,62.85,29733364,18803.55
10/5/2018,65,66.35,63,63.25,63.85,31872123,20648.25
10/4/2018,63.15,65.5,62.85,64.5,64.8,32208001,20787.47
10/3/2018,63.8,66.35,62.7,64.4,64.65,42231670,27393.35
10/1/2018,60,63.55,58.55,63.3,63.2,39640035,24294.08
9/28/2018,62.55,63.4,58.45,59.75,59.7,68264539,41455.92
9/27/2018,67.7,67.7,61.25,61.85,62.5,47047470,30411.72
9/26/2018,68.15,69.2,66.25,66.9,67.05,43152887,29136.69
9/25/2018,69.15,69.65,63.65,67.45,66.95,58214340,38969.95
9/24/2018,74,74.4,68.65,68.8,69.2,37491629,26471.53
9/21/2018,79.55,80.35,67.4,73.2,72.85,50163352,37636.44
9/19/2018,79.5,80.75,78.7,79.25,79.25,24270870,19378.53
9/18/2018,82.2,82.6,78.6,79.35,79.3,37211584,29905.14
9/17/2018,82.4,84.05,81,82.9,83,26030699,21492.44
9/14/2018,82.7,83.3,82.05,82.9,82.8,20505103,16936.6
9/12/2018,81.8,82.35,79.2,81,81.15,35789023,28881.96
9/11/2018,83.8,84.5,81.4,81.6,81.7,27909748,23241.84
9/10/2018,83.75,85,82,82.7,82.7,21243030,17725.18
9/7/2018,83.35,84.65,82.45,84.2,84.4,19594125,16411.67
9/6/2018,84,84.7,82.85,83.2,83.25,25079939,20968.53
9/5/2018,83.2,83.85,81.4,83.15,83.1,21704587,17940.75
9/4/2018,86.4,86.85,82.85,83.3,83.15,25579702,21670.04
9/3/2018,88.3,89.3,86,86,86.35,30610408,26953.46
8/31/2018,84.5,88.45,83.65,88,88.15,45793988,39491.4
8/30/2018,84.1,85.9,83.6,84.75,85.1,40695329,34568.22
8/29/2018,83.4,84.8,82.9,83.9,84.15,23031862,19350.5
8/28/2018,85.5,85.8,82.5,82.9,82.9,24887374,20814.88
8/27/2018,86.5,87.15,85,85.1,85.25,25336814,21840.25
8/24/2018,85.2,87.9,85.05,85.6,85.8,62911086,54396.38
8/23/2018,83.7,85.95,82,85.85,84.5,26998678,22508.7
8/21/2018,84.25,84.9,83.25,83.6,83.65,16719748,14030.39
8/20/2018,84,84.9,82.8,83.65,84.2,25753772,21592.8
8/17/2018,82.5,83.9,82.3,83.45,83.45,25610532,21286.36
8/16/2018,79.15,82.75,78.65,82.05,81.55,39893139,32448.24
8/14/2018,81,81.85,79.5,79.75,79.9,20667786,16647.66
8/13/2018,82.5,82.65,79.6,80.7,80.4,30972235,25223.42
8/10/2018,83.95,84.75,82.6,83,83.25,51034567,42721.82
8/9/2018,81.7,83.85,81.15,83.5,83.4,45391038,37559.85
8/8/2018,83.45,83.6,80.05,80.35,80.45,60658357,49758.9
8/7/2018,90.25,91.55,82.5,82.9,82.85,139040553,121269.88
8/6/2018,89.5,90.7,88.2,89.95,90.05,49669291,44587.18
8/3/2018,85.7,89.3,85.5,88.2,88.15,60881327,53350.5
8/2/2018,86.1,86.7,84.45,85,85.15,38618382,33018.16
8/1/2018,85.1,88.7,84.5,86.1,87.4,42891508,36947.92
7/31/2018,86,87.2,84.3,85,85.1,37202427,31817.57
7/30/2018,83.25,86.95,83.25,85.6,85.9,81035764,69394.73
7/27/2018,81.1,84.45,80.85,82,82,59634047,49409.46
7/26/2018,80.1,81.75,79.7,80.95,80.85,46087316,37229.55
7/25/2018,79.6,80.45,78.4,79.1,79.25,17521847,13894.6
7/24/2018,79.4,80.3,78.3,79.25,79.3,25963685,20617.59
7/23/2018,75.55,79.8,74.95,78.65,78.95,28920645,22375.62
7/20/2018,75.5,76.2,74.7,75.5,75.55,14332633,10815.21
7/19/2018,75.55,76.9,74.2,75.3,75.3,22782507,17256.15
7/18/2018,80,81.95,74.5,75.3,75.2,50685774,39211.88
7/17/2018,74.3,79.8,74.1,78.7,78.7,38586630,29689.62
7/16/2018,75.2,75.4,73.5,73.65,73.85,19426203,14420.64
7/13/2018,76.3,76.35,73.15,74.1,73.85,17764493,13166.34
7/12/2018,76.1,77.7,75.75,75.85,76.1,15854520,12157.9
