Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11/29/2018,289.3,289.65,284.25,288,286.4,27919104,80152.09
11/28/2018,289.4,292.45,283,284,284.55,19837609,57279.89
11/27/2018,284.6,290.5,284.05,289,289.4,21242956,61156.7
11/26/2018,284.1,287.25,279.6,286.5,286.4,16846820,47755.8
11/22/2018,285.95,287.05,281.6,282.65,282.7,12066797,34309.76
11/21/2018,283.45,289.55,283.05,286.5,287.05,16167419,46358.88
11/20/2018,285.9,288.55,282.5,282.6,283.45,12900924,36785.79
11/19/2018,293.5,293.5,286.05,288.05,288.15,13799970,39857.56
11/16/2018,285.9,291.8,282.6,291.55,290.9,24805910,71425.11
11/15/2018,283.85,287.05,281.15,285,285.4,18445463,52452.58
11/14/2018,280.4,287.7,278,283.05,283.6,52674807,148804.76
11/13/2018,276.3,279.7,273.35,279.4,278.05,25633628,70807.64
11/12/2018,283.7,283.7,276.85,277.2,277.95,24044907,67263.49
11/9/2018,287,287.5,282.45,283.1,283.25,19201007,54642.41
11/7/2018,288.9,288.9,285.95,287,286.55,3312160,9496.39
11/6/2018,296.1,298.3,283.9,285.25,286.45,40688243,117823.9
11/5/2018,286.45,300,283.5,296.1,294.95,44619891,130291.93
11/2/2018,287.9,292.8,283.2,285.55,285.35,27760214,80122.23
11/1/2018,283,289,278.85,285.65,285.9,29144808,83066.96
10/31/2018,275,282.75,268.6,280.75,281.4,28137370,77622.68
10/30/2018,267.5,279.1,266,273.9,273.15,33401683,91734.95
10/29/2018,250,269.25,248.4,267.5,267.9,37768359,98994.45
10/26/2018,252,252.5,247.4,247.9,248.1,20543437,51372.1
10/25/2018,254.5,255,248.4,250.65,249.55,33066232,82788.23
10/24/2018,260.25,261.8,252.8,255.9,255.7,25636533,65988.34
10/23/2018,258,259,255,255.9,255.65,20206307,51896.77
10/22/2018,266,266,259.45,260,260.35,19933462,52431.82
10/19/2018,259.7,264.2,258.1,261.15,261.1,28474307,74220.11
