Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,15.55,16.05,15.4,15.95,15.9,24789648.0,3912.03
2018-11-28,15.55,15.95,15.25,15.4,15.4,28683272.0,4463.96
2018-11-27,15.0,15.6,14.95,15.5,15.5,27160395.0,4187.86
2018-11-26,14.45,15.0,14.45,14.95,14.9,19753984.0,2920.98
2018-11-22,14.65,14.7,14.45,14.55,14.5,6203229.0,901.78
2018-11-21,14.3,14.75,14.2,14.6,14.6,13469702.0,1951.44
2018-11-20,14.55,14.6,14.25,14.3,14.3,8089320.0,1166.91
2018-11-19,14.6,14.75,14.45,14.5,14.55,11053847.0,1612.15
2018-11-16,14.75,14.75,14.3,14.6,14.55,14561869.0,2112.27
2018-11-15,14.85,14.95,14.55,14.7,14.65,10063761.0,1476.16
2018-11-14,15.35,15.35,14.75,14.85,14.85,14973757.0,2239.89
2018-11-13,15.1,15.15,14.75,15.1,15.1,11917663.0,1787.92
2018-11-12,15.4,15.7,15.05,15.15,15.1,17277740.0,2642.19
2018-11-09,15.35,15.7,15.1,15.45,15.5,40375499.0,6247.42
2018-11-07,14.9,15.3,14.8,15.25,15.15,12991999.0,1954.44
2018-11-06,14.8,14.9,14.5,14.65,14.55,5320006.0,781.17
2018-11-05,14.75,14.9,14.5,14.75,14.7,7153109.0,1051.79
2018-11-02,14.9,15.15,14.65,14.7,14.7,11909285.0,1776.97
2018-11-01,14.6,14.85,14.5,14.8,14.75,11123059.0,1637.36
2018-10-31,14.35,14.75,14.05,14.6,14.65,15709299.0,2262.61
2018-10-30,13.95,14.8,13.85,14.4,14.3,22938461.0,3296.26
2018-10-29,13.45,14.15,13.15,13.9,14.0,16637004.0,2285.38
2018-10-26,13.45,13.6,13.05,13.2,13.3,14446457.0,1919.29
2018-10-25,13.9,13.9,13.25,13.35,13.3,25904312.0,3494.25
2018-10-24,14.1,14.3,13.8,13.95,13.95,14710541.0,2057.28
2018-10-23,14.2,14.25,13.8,14.05,13.95,14523136.0,2038.21
2018-10-22,14.85,14.9,14.0,14.3,14.2,19044680.0,2729.04
2018-10-19,14.85,15.25,14.45,14.65,14.7,25597551.0,3783.05
2018-10-17,15.35,15.35,14.7,14.9,14.85,66571287.0,10001.43
2018-10-16,13.5,14.75,13.45,14.7,14.6,119143195.0,17141.2
2018-10-15,13.0,13.05,12.45,12.6,12.6,26632788.0,3352.0
2018-10-12,12.9,12.95,12.5,12.7,12.7,21064389.0,2671.57
2018-10-11,12.9,13.0,12.45,12.7,12.65,22599042.0,2855.73
2018-10-10,13.6,13.6,13.1,13.2,13.25,19690925.0,2610.46
2018-10-09,13.5,13.7,13.25,13.55,13.45,7791243.0,1050.35
2018-10-08,13.95,14.05,13.0,13.45,13.35,15014189.0,2033.14
2018-10-05,14.2,14.45,13.65,13.75,13.9,10382681.0,1473.1
2018-10-04,14.1,14.55,13.85,14.15,14.25,11187906.0,1595.21
2018-10-03,13.8,14.55,13.5,14.2,14.15,14063286.0,1994.31
2018-10-01,13.25,13.85,12.8,13.7,13.75,15702406.0,2091.71
2018-09-28,13.7,13.7,12.85,13.2,13.15,23814213.0,3148.69
2018-09-27,14.6,14.6,13.4,13.45,13.55,27495768.0,3804.46
2018-09-26,14.5,14.7,14.3,14.55,14.55,11101572.0,1610.01
2018-09-25,14.6,14.7,14.0,14.3,14.35,14812399.0,2126.07
2018-09-24,15.25,15.3,14.5,14.6,14.6,13860908.0,2037.83
2018-09-21,15.85,16.0,14.4,15.05,15.05,14864852.0,2267.39
2018-09-19,16.1,16.15,15.75,15.85,15.85,5840671.0,926.99
2018-09-18,16.5,16.65,15.75,15.95,15.95,12909702.0,2080.13
2018-09-17,16.4,16.5,16.05,16.25,16.25,8228520.0,1339.05
2018-09-14,16.25,16.5,16.2,16.4,16.4,5119425.0,834.72
2018-09-12,16.15,16.35,15.75,16.15,16.1,15021337.0,2397.94
2018-09-11,16.6,16.65,16.0,16.1,16.05,10887091.0,1777.74
2018-09-10,16.9,16.95,16.4,16.5,16.5,6906194.0,1146.94
2018-09-07,16.9,17.0,16.65,16.9,16.9,5195623.0,877.04
2018-09-06,17.0,17.0,16.75,16.9,16.85,5291704.0,892.47
2018-09-05,16.9,17.1,16.4,16.9,16.85,14966517.0,2510.19
2018-09-04,17.65,17.65,16.55,16.9,16.75,18585610.0,3156.42
2018-09-03,17.5,17.7,17.5,17.6,17.55,9384505.0,1651.78
2018-08-31,17.65,17.75,17.45,17.5,17.55,14648368.0,2571.85
2018-08-30,17.9,17.9,17.4,17.65,17.55,18223043.0,3212.65
2018-08-29,17.6,18.0,17.5,17.8,17.75,10052105.0,1786.39
2018-08-28,17.65,17.7,17.5,17.55,17.55,6219325.0,1094.36
2018-08-27,17.65,17.7,17.5,17.55,17.55,10178270.0,1788.36
2018-08-24,17.55,17.65,17.45,17.6,17.55,8573562.0,1503.47
2018-08-23,17.85,17.9,17.4,17.6,17.55,13419119.0,2354.0
2018-08-21,17.9,17.9,17.65,17.75,17.7,19366560.0,3433.41
2018-08-20,18.25,18.3,17.65,17.85,17.85,18516721.0,3305.94
2018-08-17,18.05,18.65,18.05,18.3,18.35,22799172.0,4177.76
2018-08-16,17.95,18.3,17.75,18.15,18.05,13507820.0,2451.07
2018-08-14,17.9,18.05,17.85,17.9,17.9,4523215.0,811.19
2018-08-13,18.0,18.05,17.8,17.85,17.85,7645626.0,1367.05
2018-08-10,18.3,18.3,18.0,18.0,18.0,10354884.0,1874.46
2018-08-09,18.1,18.45,18.0,18.35,18.35,11434245.0,2091.62
2018-08-08,18.2,18.25,17.95,18.05,18.05,8408900.0,1522.26
2018-08-07,18.2,18.25,17.95,18.15,18.05,8282463.0,1497.21
2018-08-06,18.25,18.4,18.1,18.25,18.25,8476678.0,1545.36
2018-08-03,18.35,18.5,18.0,18.15,18.15,12575103.0,2294.57
2018-08-02,17.9,18.35,17.7,18.2,18.2,17654652.0,3206.53
2018-08-01,18.25,18.3,17.8,17.8,17.85,16737545.0,3005.49
2018-07-31,18.4,18.65,18.2,18.3,18.25,10841486.0,1993.9
2018-07-30,18.2,18.5,18.1,18.35,18.35,11086712.0,2033.99
2018-07-27,17.95,18.35,17.75,18.1,18.1,13385119.0,2424.45
2018-07-26,18.15,18.15,17.65,17.8,17.8,22848285.0,4090.46
2018-07-25,18.55,18.6,17.8,18.0,18.05,25045611.0,4544.54
2018-07-24,18.5,18.95,18.35,18.55,18.45,25988543.0,4834.61
2018-07-23,20.5,20.5,18.25,18.4,18.5,76965162.0,14517.57
2018-07-20,21.7,22.75,21.55,22.65,22.5,10808854.0,2402.6
2018-07-19,21.75,22.2,21.3,21.75,21.7,9239270.0,2009.92
2018-07-18,22.75,22.9,21.2,21.75,21.65,12827142.0,2807.2
2018-07-17,21.15,22.85,20.95,22.5,22.65,17238276.0,3813.32
2018-07-16,21.6,21.6,21.0,21.1,21.05,7414204.0,1567.09
2018-07-13,22.35,22.35,21.25,21.55,21.6,7163975.0,1549.11
2018-07-12,22.3,23.75,21.95,22.25,22.2,19474781.0,4428.01
2018-07-11,22.55,22.55,22.05,22.3,22.25,5192372.0,1155.83
2018-07-10,22.5,22.75,22.45,22.6,22.65,7005588.0,1583.58
2018-07-09,22.0,22.4,21.7,22.3,22.35,6123695.0,1356.85
2018-07-06,21.25,21.8,21.2,21.8,21.7,3855525.0,831.97
2018-07-05,21.5,21.55,21.2,21.35,21.35,3880022.0,829.87
2018-07-04,21.65,21.8,21.25,21.4,21.45,4873094.0,1045.4
2018-07-03,21.45,21.75,21.0,21.65,21.6,6741156.0,1442.57
2018-07-02,22.45,22.45,21.1,21.65,21.7,13015702.0,2822.35
2018-06-29,21.6,22.35,21.6,22.25,22.3,7263613.0,1605.7
2018-06-28,22.25,22.35,21.2,21.6,21.4,21453427.0,4625.04
2018-06-27,23.0,23.0,22.0,22.3,22.35,7074225.0,1583.18
2018-06-26,23.3,23.35,22.9,22.95,22.95,8770677.0,2021.59
2018-06-25,23.6,23.6,23.2,23.3,23.25,3265616.0,763.34
2018-06-22,23.4,23.6,23.1,23.5,23.45,7247046.0,1693.72
2018-06-21,23.5,23.75,23.25,23.4,23.4,3451548.0,808.26
2018-06-20,23.35,23.65,23.3,23.4,23.5,3701813.0,868.93
2018-06-19,23.75,24.0,23.05,23.45,23.35,7572755.0,1775.75
2018-06-18,24.2,24.3,23.8,23.8,23.85,5463712.0,1307.76
2018-06-15,24.8,25.05,24.0,24.05,24.1,7237624.0,1765.4
2018-06-14,24.8,24.9,24.5,24.85,24.8,4356753.0,1077.14
2018-06-13,24.85,25.2,24.85,24.9,24.95,5111496.0,1277.47
2018-06-12,25.15,25.15,24.75,24.9,24.85,3440717.0,856.78
2018-06-11,24.65,25.5,24.5,25.0,25.0,9849576.0,2462.36
2018-06-08,24.7,24.85,24.4,24.6,24.6,6717079.0,1653.44
2018-06-07,24.2,25.05,24.2,24.7,24.8,12305256.0,3047.42
2018-06-06,23.4,24.15,23.2,24.1,24.05,11842024.0,2812.9
2018-06-05,23.9,24.25,23.15,23.5,23.4,20448156.0,4834.18
2018-06-04,24.1,24.25,23.7,24.0,23.9,7486636.0,1792.85
2018-06-01,24.4,24.4,23.85,24.05,24.05,7964527.0,1914.28
2018-05-31,24.4,24.65,23.9,23.9,24.05,21792893.0,5267.9
2018-05-30,24.45,24.55,24.15,24.2,24.2,12026954.0,2918.82
2018-05-29,25.1,25.2,24.6,24.75,24.7,5492712.0,1362.61
2018-05-28,24.5,25.15,24.4,25.1,25.05,6610092.0,1647.97
2018-05-25,24.35,24.55,24.05,24.45,24.4,6357457.0,1544.29
2018-05-24,24.6,24.75,24.05,24.25,24.2,7603929.0,1857.53
2018-05-23,25.2,25.2,24.45,24.55,24.6,8747117.0,2162.85
