Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-29,10.7,10.75,10.45,10.65,10.55,187668.0,19.86
2018-11-28,10.9,10.9,10.55,10.65,10.65,295495.0,31.76
2018-11-27,10.9,11.0,10.8,10.85,10.85,280867.0,30.59
2018-11-26,10.95,11.05,10.8,10.85,10.85,278077.0,30.27
2018-11-22,11.05,11.2,10.9,10.95,10.95,320932.0,35.44
2018-11-21,11.15,11.2,10.95,10.95,11.0,472998.0,52.22
2018-11-20,11.3,11.3,11.1,11.1,11.1,533725.0,59.69
2018-11-19,11.4,11.7,11.3,11.35,11.4,941931.0,108.21
2018-11-16,11.3,11.45,11.2,11.25,11.3,376773.0,42.65
2018-11-15,11.55,11.55,11.25,11.25,11.3,307116.0,34.83
2018-11-14,12.3,12.3,11.15,11.45,11.5,873561.0,101.02
2018-11-13,12.0,13.3,11.15,12.45,12.25,2759483.0,336.04
2018-11-12,11.95,12.1,11.8,12.0,11.95,527725.0,63.03
2018-11-09,11.45,12.0,11.35,12.0,11.9,1205450.0,140.77
2018-11-07,11.3,11.5,11.15,11.5,11.35,153501.0,17.42
2018-11-06,11.1,11.35,11.1,11.25,11.2,540717.0,60.82
2018-11-05,10.95,11.25,10.85,11.1,11.1,404351.0,44.93
2018-11-02,11.0,11.2,10.95,11.0,11.0,592369.0,65.63
2018-11-01,11.25,11.25,10.95,11.0,11.0,533252.0,58.87
2018-10-31,11.7,11.7,10.95,11.2,11.25,959613.0,107.75
2018-10-30,10.15,11.5,10.05,10.85,10.85,1667150.0,177.92
2018-10-29,9.7,10.45,9.6,10.05,10.05,863953.0,86.01
2018-10-26,9.7,9.75,9.5,9.65,9.6,338261.0,32.54
2018-10-25,9.6,9.7,9.55,9.65,9.65,181565.0,17.45
2018-10-24,9.65,9.8,9.65,9.75,9.75,230637.0,22.42
2018-10-23,9.6,9.75,9.6,9.7,9.65,198096.0,19.2
2018-10-22,9.8,9.9,9.65,9.7,9.65,202081.0,19.71
2018-10-19,9.95,9.95,9.75,9.85,9.85,254308.0,25.05
2018-10-17,10.25,10.35,9.9,9.9,9.95,366047.0,36.87
2018-10-16,9.75,10.3,9.7,10.1,10.05,512307.0,51.6
2018-10-15,9.75,9.8,9.6,9.7,9.7,221966.0,21.52
2018-10-12,9.55,9.75,9.55,9.7,9.65,255353.0,24.73
2018-10-11,9.4,9.6,9.1,9.5,9.5,247002.0,23.39
2018-10-10,9.4,9.7,9.4,9.6,9.6,397160.0,37.99
2018-10-09,9.5,9.65,9.25,9.55,9.55,363983.0,34.71
2018-10-08,10.35,10.35,8.9,9.5,9.45,1613772.0,153.53
2018-10-05,10.45,10.45,10.05,10.25,10.15,345506.0,35.32
2018-10-04,10.3,10.45,10.2,10.35,10.4,239572.0,24.81
2018-10-03,10.6,10.8,10.25,10.45,10.4,412517.0,42.98
2018-10-01,10.3,10.5,10.05,10.45,10.35,450800.0,46.2
2018-09-28,10.7,10.75,10.1,10.4,10.25,446305.0,46.34
2018-09-27,10.8,10.85,10.6,10.65,10.65,227576.0,24.33
2018-09-26,10.9,11.05,10.7,10.8,10.75,377541.0,40.86
2018-09-25,10.8,11.25,10.6,11.0,10.85,428183.0,46.39
2018-09-24,11.2,11.5,10.8,10.9,10.9,477477.0,52.47
2018-09-21,11.65,11.75,10.9,11.25,11.2,628263.0,70.7
2018-09-19,12.25,12.25,11.55,11.65,11.65,452368.0,53.11
2018-09-18,12.6,12.9,11.8,11.95,11.95,2018609.0,246.87
2018-09-17,11.55,11.6,11.1,11.5,11.45,202126.0,23.13
